Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 2.846506118774414 ,seconds
------
The SC has, 976 , nodes and,  1009 edges.
------
The value of the objective using Pyomo is, 430524.02 
stage, SI, time, S
Dist_0001 , 0.7 , 2.0 , 0.02
Dist_0191 , 0.1 , 0.0 , 0.04
Manuf_0078 , 0.07 , 5.0 , 0.01
Dist_0002 , 0.32 , 2.0 , 0.46
Dist_0192 , 0.5 , 0.0 , 0.24
Dist_0003 , 0.56 , 2.0 , 0.55
Dist_0193 , 0.58 , 0.0 , 0.29
Dist_0004 , 0.05 , 2.0 , 0.35
Dist_0194 , 0.38 , 0.0 , 0.19
Dist_0005 , 0.28 , 2.0 , 0.44
Dist_0195 , 0.48 , 0.0 , 0.24
Dist_0006 , 0.05 , 2.0 , 0.01
Dist_0196 , 0.04 , 3.1 , 0.0
Dist_0197 , 0.04 , 2.65 , 0.0
Dist_0198 , 0.04 , 2.88 , 0.0
Dist_0199 , 0.09 , 0.0 , 0.04
Dist_0007 , 0.05 , 2.0 , 0.01
Dist_0200 , 0.09 , 0.0 , 0.04
Dist_0201 , 0.04 , 3.45 , -0.0
Dist_0202 , 0.04 , 3.55 , -0.0
Dist_0008 , 0.35 , 2.0 , 0.46
Dist_0203 , 0.5 , 0.0 , 0.24
Dist_0009 , 0.54 , 2.0 , 0.52
Dist_0204 , 0.55 , 0.0 , 0.25
Dist_0010 , 0.05 , 2.0 , 0.01
Dist_0205 , 0.08 , 0.0 , 0.04
Dist_0206 , 0.04 , 3.06 , 0.0
Dist_0207 , 0.04 , 2.54 , 0.0
Dist_0208 , 0.04 , 2.7 , 0.0
Dist_0209 , 0.04 , 2.21 , 0.0
Manuf_0079 , 0.07 , 5.0 , 0.01
Dist_0011 , 0.05 , 2.0 , 0.01
Dist_0210 , 0.04 , 2.7 , 0.0
Dist_0211 , 0.04 , 2.21 , 0.0
Dist_0212 , 0.04 , 2.54 , 0.0
Dist_0213 , 0.04 , 3.06 , 0.0
Dist_0214 , 0.08 , 0.0 , 0.04
Dist_0012 , 0.05 , 2.0 , 0.01
Dist_0215 , 0.09 , 0.0 , 0.04
Dist_0216 , 0.04 , 2.88 , 0.0
Dist_0217 , 0.04 , 2.65 , 0.0
Dist_0218 , 0.04 , 3.1 , 0.0
Dist_0013 , 0.05 , 2.0 , 0.01
Dist_0219 , 0.04 , 3.55 , -0.0
Dist_0220 , 0.09 , 0.0 , 0.04
Dist_0221 , 0.04 , 3.45 , -0.0
Dist_0014 , 0.35 , 2.0 , 0.46
Dist_0222 , 0.5 , 0.0 , 0.23
Dist_0015 , 0.54 , 2.0 , 0.53
Dist_0223 , 0.56 , 0.0 , 0.26
Dist_0016 , 0.7 , 2.0 , 0.01
Dist_0224 , 0.08 , 0.0 , 0.04
Dist_0225 , 0.04 , 3.06 , 0.0
Dist_0226 , 0.04 , 2.54 , 0.0
Dist_0227 , 0.04 , 2.21 , 0.0
Dist_0228 , 0.04 , 2.7 , 0.0
Manuf_0080 , 0.05 , 5.0 , 0.01
Dist_0017 , 0.32 , 2.0 , 0.44
Dist_0229 , 0.47 , 0.0 , 0.22
Dist_0018 , 0.45 , 2.0 , 0.01
Dist_0230 , 0.04 , 3.55 , -0.0
Dist_0231 , 0.04 , 3.45 , -0.0
Dist_0232 , 0.08 , 0.0 , 0.04
Dist_0019 , 0.05 , 2.0 , 0.35
Dist_0233 , 0.38 , 0.0 , 0.19
Dist_0020 , 0.19 , 2.0 , 0.01
Dist_0234 , 0.09 , 0.0 , 0.04
Dist_0235 , 0.04 , 2.88 , 0.0
Dist_0236 , 0.04 , 2.65 , 0.0
Dist_0237 , 0.04 , 3.1 , 0.0
Dist_0021 , 0.05 , 2.0 , 0.01
Dist_0238 , 0.09 , 0.0 , 0.04
Dist_0239 , 0.07 , 0.0 , 0.0
Dist_0240 , 0.07 , 0.0 , 0.0
Dist_0241 , 0.07 , 0.0 , 0.0
Dist_0242 , 0.08 , 0.0 , 0.0
Dist_0022 , 0.35 , 2.0 , 0.47
Dist_0243 , 0.5 , 0.0 , 0.25
Dist_0023 , 0.06 , 2.0 , 0.14
Dist_0244 , 0.19 , 0.0 , 0.0
Dist_0245 , 0.2 , 0.0 , 0.09
Dist_0246 , 0.19 , 0.0 , 0.0
Dist_0024 , 0.54 , 2.0 , 0.54
Dist_0247 , 0.58 , 0.0 , 0.28
Dist_0025 , 0.05 , 2.0 , 0.1
Dist_0248 , 0.17 , 0.0 , 0.08
Dist_0249 , 0.16 , 0.0 , 0.0
Dist_0250 , 0.16 , 0.0 , 0.0
Dist_0251 , 0.16 , 0.0 , 0.0
Dist_0026 , 0.05 , 2.0 , 0.01
Dist_0252 , 0.04 , 2.7 , 0.0
Dist_0253 , 0.09 , 0.0 , 0.04
Dist_0254 , 0.04 , 3.06 , 0.0
Dist_0255 , 0.04 , 2.54 , 0.0
Dist_0256 , 0.04 , 2.21 , 0.0
Dist_0027 , 0.35 , 2.0 , 0.47
Dist_0257 , 0.5 , 0.0 , 0.25
Dist_0028 , 0.05 , 2.0 , 0.01
Dist_0258 , 0.04 , 3.55 , -0.0
Dist_0259 , 0.09 , 0.0 , 0.04
Dist_0260 , 0.04 , 3.45 , -0.0
Dist_0029 , 0.54 , 2.0 , 0.53
Dist_0261 , 0.57 , 0.0 , 0.27
Dist_0030 , 0.05 , 2.0 , 0.01
Dist_0262 , 0.09 , 0.0 , 0.04
Dist_0263 , 0.04 , 3.1 , 0.0
Dist_0264 , 0.04 , 2.88 , 0.0
Dist_0265 , 0.04 , 2.65 , 0.0
Dist_0031 , 0.05 , 2.0 , 0.01
Dist_0266 , 0.09 , 0.0 , 0.04
Dist_0267 , 0.04 , 3.06 , 0.0
Dist_0268 , 0.04 , 2.54 , 0.0
Dist_0269 , 0.04 , 2.21 , 0.0
Dist_0270 , 0.04 , 2.7 , 0.0
Dist_0032 , 0.35 , 2.0 , 0.47
Dist_0271 , 0.51 , 0.0 , 0.25
Dist_0033 , 0.05 , 2.0 , 0.01
Dist_0272 , 0.04 , 3.55 , -0.0
Dist_0273 , 0.1 , 0.0 , 0.04
Dist_0274 , 0.04 , 3.45 , -0.0
Dist_0034 , 0.54 , 2.0 , 0.54
Dist_0275 , 0.57 , 0.0 , 0.28
Dist_0035 , 0.05 , 2.0 , 0.01
Dist_0276 , 0.1 , 0.0 , 0.04
Dist_0277 , 0.04 , 2.88 , 0.0
Dist_0278 , 0.04 , 3.1 , 0.0
Dist_0279 , 0.04 , 2.65 , 0.0
Dist_0036 , 0.05 , 2.0 , 0.35
Dist_0280 , 0.38 , 0.0 , 0.18
Dist_0037 , 0.35 , 2.0 , 0.47
Dist_0281 , 0.51 , 0.0 , 0.25
Dist_0038 , 0.09 , 2.0 , 0.36
Dist_0282 , 0.4 , 0.0 , 0.19
Dist_0039 , 0.54 , 2.0 , 0.54
Dist_0283 , 0.57 , 0.0 , 0.28
Dist_0040 , 0.05 , 2.0 , 0.35
Dist_0284 , 0.38 , 0.0 , 0.19
Dist_0041 , 0.85 , 2.0 , 0.65
Dist_0285 , 0.69 , 0.0 , 0.34
Dist_0042 , 0.32 , 2.0 , 0.46
Dist_0286 , 0.5 , 0.0 , 0.24
Dist_0043 , 0.56 , 2.0 , 0.55
Dist_0287 , 0.58 , 0.0 , 0.29
Dist_0044 , 0.05 , 2.0 , 0.35
Dist_0288 , 0.38 , 0.0 , 0.19
Dist_0045 , 0.28 , 2.0 , 0.44
Dist_0289 , 0.48 , 0.0 , 0.24
Dist_0046 , 0.85 , 2.0 , 0.65
Dist_0290 , 0.68 , 0.0 , 0.33
Dist_0047 , 0.32 , 2.0 , 0.46
Dist_0291 , 0.49 , 0.0 , 0.24
Dist_0048 , 0.56 , 2.0 , 0.54
Dist_0292 , 0.58 , 0.0 , 0.28
Dist_0049 , 0.05 , 2.0 , 0.34
Dist_0293 , 0.38 , 0.0 , 0.18
Dist_0050 , 0.28 , 2.0 , 0.44
Dist_0294 , 0.48 , 0.0 , 0.23
Dist_0051 , 0.7 , 2.0 , 0.01
Dist_0295 , 0.04 , 2.21 , 0.0
Dist_0296 , 0.1 , 0.0 , 0.04
Dist_0297 , 0.04 , 3.06 , 0.0
Dist_0298 , 0.04 , 2.54 , 0.0
Dist_0299 , 0.04 , 2.7 , 0.0
Dist_0052 , 0.32 , 2.0 , 0.46
Dist_0300 , 0.5 , 0.0 , 0.24
Dist_0053 , 0.44 , 2.0 , 0.01
Dist_0301 , 0.04 , 3.45 , -0.0
Dist_0302 , 0.04 , 3.55 , -0.0
Dist_0303 , 0.1 , 0.0 , 0.04
Dist_0054 , 0.05 , 2.0 , 0.35
Dist_0304 , 0.38 , 0.0 , 0.19
Dist_0055 , 0.19 , 2.0 , 0.01
Dist_0305 , 0.1 , 0.0 , 0.04
Dist_0306 , 0.04 , 3.1 , 0.0
Dist_0307 , 0.04 , 2.88 , 0.0
Dist_0308 , 0.04 , 2.65 , 0.0
Dist_0056 , 0.05 , 2.0 , 0.35
Dist_0309 , 0.38 , 0.0 , 0.18
Dist_0057 , 0.35 , 2.0 , 0.47
Dist_0310 , 0.5 , 0.0 , 0.24
Dist_0058 , 0.09 , 2.0 , 0.35
Dist_0311 , 0.39 , 0.0 , 0.18
Dist_0059 , 0.54 , 2.0 , 0.53
Dist_0312 , 0.57 , 0.0 , 0.27
Dist_0060 , 0.05 , 2.0 , 0.34
Dist_0313 , 0.38 , 0.0 , 0.18
Dist_0061 , 0.85 , 2.0 , 0.65
Dist_0314 , 0.69 , 0.0 , 0.34
Dist_0062 , 0.32 , 2.0 , 0.46
Dist_0315 , 0.5 , 0.0 , 0.24
Dist_0063 , 0.56 , 2.0 , 0.55
Dist_0316 , 0.58 , 0.0 , 0.29
Dist_0064 , 0.05 , 2.0 , 0.35
Dist_0317 , 0.38 , 0.0 , 0.19
Dist_0065 , 0.28 , 2.0 , 0.44
Dist_0318 , 0.48 , 0.0 , 0.24
Dist_0066 , 0.05 , 2.0 , 0.35
Dist_0319 , 0.38 , 0.0 , 0.19
Dist_0067 , 0.35 , 2.0 , 0.47
Dist_0320 , 0.51 , 0.0 , 0.25
Dist_0068 , 0.09 , 2.0 , 0.37
Dist_0321 , 0.4 , 0.0 , 0.2
Dist_0069 , 0.54 , 2.0 , 0.54
Dist_0322 , 0.57 , 0.0 , 0.28
Dist_0070 , 0.05 , 2.0 , 0.35
Dist_0323 , 0.38 , 0.0 , 0.19
Dist_0071 , 0.05 , 2.0 , 0.33
Dist_0324 , 0.36 , 0.0 , 0.18
Dist_0072 , 0.35 , 2.0 , 0.47
Dist_0325 , 0.5 , 0.0 , 0.24
Dist_0073 , 0.09 , 2.0 , 0.34
Dist_0326 , 0.38 , 0.0 , 0.18
Dist_0074 , 0.54 , 2.0 , 0.54
Dist_0327 , 0.57 , 0.0 , 0.28
Dist_0075 , 0.05 , 2.0 , 0.34
Dist_0328 , 0.38 , 0.0 , 0.18
Dist_0076 , 0.05 , 2.0 , 0.01
Dist_0329 , 0.09 , 0.0 , 0.04
Dist_0330 , 0.04 , 3.06 , 0.0
Dist_0331 , 0.04 , 2.54 , 0.0
Dist_0332 , 0.04 , 2.7 , 0.0
Dist_0333 , 0.04 , 2.21 , 0.0
Dist_0077 , 0.35 , 2.0 , 0.47
Dist_0334 , 0.51 , 0.0 , 0.25
Dist_0078 , 0.05 , 2.0 , 0.01
Dist_0335 , 0.04 , 3.45 , -0.0
Dist_0336 , 0.04 , 3.55 , -0.0
Dist_0337 , 0.1 , 0.0 , 0.04
Dist_0079 , 0.54 , 2.0 , 0.54
Dist_0338 , 0.57 , 0.0 , 0.28
Dist_0080 , 0.05 , 2.0 , 0.01
Dist_0339 , 0.04 , 3.1 , 0.0
Dist_0340 , 0.1 , 0.0 , 0.04
Dist_0341 , 0.04 , 2.88 , 0.0
Dist_0342 , 0.04 , 2.65 , 0.0
Dist_0081 , 0.05 , 2.0 , 0.34
Dist_0343 , 0.38 , 0.0 , 0.18
Dist_0082 , 0.35 , 2.0 , 0.47
Dist_0344 , 0.51 , 0.0 , 0.25
Dist_0083 , 0.09 , 2.0 , 0.36
