Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 20.886557817459106 ,seconds
------
The SC has, 577 , nodes and,  2262 edges.
------
The value of the objective using Pyomo is, 3927054.53 
stage, SI, time, S
Manuf_0001 , 0.0 , 20 , 0.0
Trans_0001 , 0.0 , 5 , 4.99
Manuf_0002 , 0.0 , 20 , 0.0
Trans_0002 , 0.0 , 5 , 4.99
Manuf_0003 , 0.0 , 20 , 0.0
Trans_0003 , 0.0 , 5 , 4.99
Manuf_0004 , 0.0 , 15 , 0.0
Trans_0004 , 0.0 , 5 , 4.99
Manuf_0005 , 0.0 , 5 , 4.99
Manuf_0007 , 4.99 , 20 , -0.0
Manuf_0006 , 0.0 , 5 , 4.99
Manuf_0008 , 4.99 , 20 , -0.0
Manuf_0009 , -0.0 , 4 , 3.99
Manuf_0010 , -0.0 , 2 , 1.99
Manuf_0011 , 3.99 , 2 , -0.0
Manuf_0014 , 3.99 , 4 , 0.0
Manuf_0015 , 3.99 , 2 , 0.0
Manuf_0023 , 1.99 , 6 , 0.0
Manuf_0025 , 1.99 , 8 , -0.0
Manuf_0026 , 1.99 , 8 , -0.0
Manuf_0049 , -0.0 , 8 , 0.01
Manuf_0050 , 0.01 , 8 , 8.0
Manuf_0051 , 0.0 , 8 , 0.01
Manuf_0053 , -0.0 , 2 , 0.01
Manuf_0060 , -0.0 , 8 , 0.01
Manuf_0080 , 0.0 , 4 , 0.01
Manuf_0082 , -0.0 , 8 , 0.01
Manuf_0083 , 0.0 , 8 , 0.01
Manuf_0012 , 0.0 , 2 , -0.0
Manuf_0052 , 0.01 , 6 , 6.0
Manuf_0054 , 0.01 , 2 , 2.0
Manuf_0013 , 0.0 , 6 , -0.0
Manuf_0055 , -0.0 , 6 , 0.01
Manuf_0061 , 0.0 , 8 , 0.01
Manuf_0056 , 0.0 , 4 , 3.99
Manuf_0057 , 0.0 , 4 , 3.99
Manuf_0058 , 0.0 , 4 , 0.01
Manuf_0059 , 0.0 , 4 , 0.01
Manuf_0062 , 0.0 , 6 , 0.01
Manuf_0063 , 0.0 , 2 , 0.01
Manuf_0081 , 0.0 , 4 , 0.01
Manuf_0091 , 0.01 , 4 , 4.0
Manuf_0016 , 0.0 , 4 , -0.0
Manuf_0017 , 0.0 , 4 , 0.0
Manuf_0018 , 0.0 , 6 , 0.0
Manuf_0019 , 0.0 , 4 , 0.0
Manuf_0020 , 0.0 , 4 , 0.0
Manuf_0021 , 0.0 , 2 , -0.0
Manuf_0022 , 0.0 , 4 , 0.0
Manuf_0064 , 0.0 , 2 , 1.99
Manuf_0069 , 0.0 , 8 , 0.01
Manuf_0074 , -0.0 , 6 , 0.01
Manuf_0077 , 0.0 , 4 , 0.01
Manuf_0078 , 0.0 , 6 , 0.01
Manuf_0024 , 0.0 , 8 , -0.0
Manuf_0065 , -0.0 , 8 , 0.01
Manuf_0066 , -0.0 , 6 , 0.01
Manuf_0070 , -0.0 , 4 , 0.01
Manuf_0075 , -0.0 , 8 , 0.01
Manuf_0079 , 0.0 , 8 , 0.01
Manuf_0084 , 0.0 , 2 , 1.99
Manuf_0088 , 0.0 , 8 , 0.01
Manuf_0089 , 0.0 , 6 , 0.01
Manuf_0090 , 0.0 , 6 , 0.01
Manuf_0093 , 0.01 , 2 , 2.0
Manuf_0067 , 0.01 , 2 , 2.0
Manuf_0068 , 0.01 , 8 , 8.0
Manuf_0071 , 0.0 , 4 , 0.01
Manuf_0072 , -0.0 , 4 , 0.01
Manuf_0073 , 0.0 , 2 , 1.99
Manuf_0076 , -0.0 , 8 , 0.01
Manuf_0085 , 0.0 , 8 , 0.01
Manuf_0086 , 0.0 , 8 , 0.01
Manuf_0087 , 0.0 , 6 , 0.01
Manuf_0092 , 0.01 , 8 , 8.0
Manuf_0027 , 0.0 , 6 , 0.0
Manuf_0028 , 0.0 , 4 , -0.0
Manuf_0029 , 0.0 , 6 , 0.0
Manuf_0030 , 0.0 , 4 , -0.0
Manuf_0031 , 0.0 , 6 , 0.0
Manuf_0032 , 0.0 , 8 , -0.0
Manuf_0033 , 0.0 , 4 , 0.0
Manuf_0034 , 0.0 , 4 , 0.0
Manuf_0035 , 0.0 , 4 , 0.0
Manuf_0036 , 0.0 , 8 , 0.0
Manuf_0037 , 0.0 , 4 , 0.0
Manuf_0038 , 0.0 , 4 , -0.0
Manuf_0039 , 0.0 , 4 , 0.0
Manuf_0040 , 0.0 , 8 , 0.0
Manuf_0041 , 0.0 , 4 , 0.0
Manuf_0042 , 0.0 , 6 , 0.0
Manuf_0043 , 0.0 , 4 , 0.0
Manuf_0044 , 0.0 , 6 , 0.0
Manuf_0045 , 0.0 , 4 , 0.0
Manuf_0046 , 0.0 , 6 , 0.01
Manuf_0047 , 0.0 , 2 , 0.01
Manuf_0048 , 0.0 , 4 , 0.01
Retail_0016 , 0.01 , 10 , 10.0
Retail_0017 , 0.01 , 5 , 5.0
Retail_0018 , 0.01 , 5 , 5.0
Retail_0019 , 0.01 , 10 , 10.0
Retail_0020 , 0.01 , 5 , 5.0
Retail_0021 , 0.01 , 10 , 10.0
Retail_0022 , 0.01 , 5 , 5.0
Retail_0023 , 3.99 , 10 , 10.0
Retail_0024 , 3.99 , 10 , 10.0
Retail_0025 , 0.01 , 10 , 10.0
Retail_0026 , 0.01 , 5 , 5.0
Retail_0027 , 0.01 , 10 , 10.0
Retail_0028 , 0.01 , 5 , 5.0
Retail_0029 , 0.01 , 10 , 10.0
Retail_0030 , 0.01 , 5 , 5.0
Retail_0031 , 0.01 , 10 , 10.0
Retail_0032 , 0.01 , 5 , 5.0
Retail_0033 , 0.01 , 10 , 10.0
Retail_0034 , 0.01 , 5 , 5.0
Retail_0035 , 0.01 , 10 , 10.0
Retail_0036 , 0.01 , 5 , 5.0
Retail_0037 , 1.99 , 10 , 10.0
Retail_0038 , 1.99 , 5 , 5.0
Retail_0039 , 0.01 , 10 , 10.0
Retail_0040 , 0.01 , 5 , 5.0
Retail_0041 , 0.01 , 10 , 10.0
Retail_0042 , 0.01 , 5 , 5.0
Retail_0043 , 0.01 , 10 , 10.0
Retail_0044 , 0.01 , 5 , 5.0
Retail_0045 , 0.01 , 10 , 10.0
Retail_0046 , 0.01 , 5 , 5.0
Retail_0047 , 0.01 , 10 , 10.0
Retail_0048 , 0.01 , 5 , 5.0
Retail_0049 , 0.01 , 10 , 10.0
Retail_0050 , 0.01 , 5 , 5.0
Retail_0051 , 1.99 , 10 , 10.0
Retail_0052 , 1.99 , 5 , 5.0
Retail_0053 , 0.01 , 10 , 10.0
Retail_0054 , 0.01 , 5 , 5.0
Retail_0055 , 0.01 , 10 , 10.0
Retail_0056 , 0.01 , 5 , 5.0
Retail_0057 , 0.01 , 10 , 10.0
Retail_0058 , 0.01 , 5 , 5.0
Retail_0059 , 0.01 , 10 , 10.0
Retail_0060 , 0.01 , 5 , 5.0
Retail_0061 , 0.01 , 10 , 10.0
Retail_0062 , 0.01 , 5 , 5.0
Retail_0063 , 0.01 , 10 , 10.0
Retail_0064 , 0.01 , 5 , 5.0
Retail_0065 , 0.01 , 5 , 5.0
Retail_0066 , 0.01 , 5 , 5.0
Retail_0067 , 0.01 , 5 , 5.0
Retail_0068 , 0.01 , 10 , 10.0
Retail_0069 , 0.01 , 10 , 10.0
Retail_0070 , 0.01 , 5 , 5.0
Retail_0071 , 0.01 , 10 , 10.0
Retail_0072 , 0.01 , 10 , 10.0
Retail_0073 , 1.99 , 5 , 5.0
Retail_0074 , 0.01 , 5 , 5.0
Retail_0075 , 0.01 , 5 , 5.0
Retail_0076 , 0.01 , 5 , 5.0
Retail_0077 , 0.01 , 5 , 5.0
Retail_0078 , 0.01 , 10 , 10.0
Retail_0079 , 0.01 , 10 , 10.0
Retail_0080 , 0.01 , 5 , 5.0
Retail_0081 , 0.01 , 10 , 10.0
Retail_0082 , 0.01 , 10 , 10.0
Part_0001 , 0.0 , 50 , 0.0
Part_0002 , 0.0 , 35 , 0.0
Part_0003 , 0.0 , 36 , 0.0
Part_0004 , 0.0 , 28 , 1.99
Part_0005 , 0.0 , 39 , 3.99
Part_0006 , 0.0 , 26 , 3.99
Part_0007 , 0.0 , 22 , 3.99
Part_0008 , 0.0 , 25 , 3.99
Part_0009 , 0.0 , 30 , 3.99
Part_0010 , 0.0 , 37 , 3.99
Part_0011 , 0.0 , 54 , 3.99
Part_0012 , 0.0 , 29 , 3.99
Part_0013 , 0.0 , 47 , 3.99
Part_0014 , 0.0 , 31 , 1.99
Part_0015 , 0.0 , 37 , 0.0
Part_0016 , 0.0 , 24 , 1.99
Part_0017 , 0.0 , 24 , 1.99
Part_0018 , 0.0 , 25 , 3.99
Part_0019 , 0.0 , 36 , 3.99
Part_0020 , 0.0 , 32 , 3.99
Part_0021 , 0.0 , 34 , 3.99
Part_0022 , 0.0 , 39 , 3.99
Part_0023 , 0.0 , 36 , 1.99
Part_0024 , 0.0 , 33 , 3.99
Part_0025 , 0.0 , 22 , 3.99
Part_0026 , 0.0 , 34 , 3.99
Part_0027 , 0.0 , 27 , 3.99
Part_0028 , 0.0 , 25 , 3.99
Part_0029 , 0.0 , 33 , 3.99
Part_0030 , 0.0 , 22 , 3.99
Part_0031 , 0.0 , 30 , 3.99
Part_0032 , 0.0 , 48 , 1.99
Part_0033 , 0.0 , 41 , 1.99
Part_0034 , 0.0 , 27 , 3.99
Part_0035 , 0.0 , 28 , 3.99
Part_0036 , 0.0 , 49 , 3.99
Part_0037 , 0.0 , 28 , 3.99
Part_0038 , 0.0 , 31 , 3.99
Part_0039 , 0.0 , 27 , 3.99
Part_0040 , 0.0 , 25 , 3.99
Part_0041 , 0.0 , 24 , 3.99
Part_0042 , 0.0 , 39 , 3.99
Part_0043 , 0.0 , 28 , 1.99
Part_0044 , 0.0 , 29 , 1.99
Part_0045 , 0.0 , 32 , 1.99
Part_0046 , 0.0 , 36 , 1.99
Part_0047 , 0.0 , 30 , 1.99
Part_0048 , 0.0 , 19 , 1.99
Part_0049 , 0.0 , 21 , 1.99
Part_0050 , 0.0 , 34 , 3.99
Part_0051 , 0.0 , 27 , 1.99
Part_0052 , 0.0 , 24 , 1.99
Part_0053 , 0.0 , 37 , 1.99
Part_0054 , 0.0 , 45 , 3.99
Part_0055 , 0.0 , 22 , 1.99
Part_0056 , 0.0 , 35 , 3.99
Part_0057 , 0.0 , 17 , 1.99
Part_0058 , 0.0 , 28 , 1.99
Part_0059 , 0.0 , 27 , 3.99
Part_0060 , 0.0 , 21 , 1.99
Part_0061 , 0.0 , 14 , 3.99
Part_0062 , 0.0 , 51 , 0.0
Part_0063 , 0.0 , 42 , 3.99
Part_0064 , 0.0 , 37 , 1.99
