Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 0.4807910919189453 ,seconds
------
The SC has, 38 , nodes and,  78 edges.
------
The value of the objective using Pyomo is, 2149293.69 
stage, SI, time, S
Manuf_0001 , 0.0 , 28.0 , 4.01
Retail_0001 , 4.01 , 6.0 , 10.0
Manuf_0002 , 0.0 , 34.0 , 6.01
Retail_0002 , 6.01 , 4.0 , 10.0
Manuf_0003 , 0.0 , 34.0 , 4.01
Retail_0003 , 4.01 , 6.0 , 10.0
Manuf_0004 , 0.0 , 35.0 , 5.01
Retail_0004 , 5.01 , 5.0 , 10.0
Manuf_0005 , 0.0 , 34.0 , 5.01
Retail_0005 , 5.01 , 5.0 , 10.0
Manuf_0006 , 0.0 , 35.0 , 3.01
Retail_0006 , 3.01 , 7.0 , 10.0
Part_0001 , 0.0 , 7.0 , 6.99
Trans_0001 , 6.99 , 12.0 , -0.0
Part_0002 , 0.0 , 10.35 , 10.34
Trans_0002 , 10.34 , 8.0 , 0.0
Part_0003 , 0.0 , 10.19 , 10.18
Trans_0003 , 10.18 , 7.0 , 0.0
Part_0004 , 0.0 , 9.31 , 9.3
Trans_0004 , 9.3 , 7.0 , 0.0
Part_0005 , 0.0 , 25.0 , 0.0
Trans_0005 , 0.0 , 9.0 , 0.0
Part_0006 , 0.0 , 8.54 , 8.53
Trans_0006 , 8.53 , 9.0 , 0.0
Part_0007 , 0.0 , 10.0 , 9.99
Trans_0007 , 9.99 , 8.0 , 0.0
Part_0008 , 0.0 , 33.0 , 0.0
Trans_0008 , 0.0 , 6.66 , 0.0
Part_0009 , 0.0 , 6.0 , 5.99
Trans_0009 , 5.99 , 8.9 , 0.0
Part_0010 , 0.0 , 9.0 , 8.99
Trans_0010 , 8.99 , 34.0 , -0.0
Part_0011 , 0.0 , 7.0 , 6.99
Trans_0011 , 6.99 , 7.74 , 0.0
Part_0012 , 0.0 , 4.0 , 3.99
Trans_0012 , 3.99 , 8.71 , 0.0
Part_0013 , 0.0 , 7.0 , 6.99
Trans_0013 , 6.99 , 7.32 , 0.0
