Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 7.03448486328125 ,seconds
------
The SC has, 186 , nodes and,  359 edges.
------
The value of the objective using Pyomo is, 620356.80 
stage, SI, time, S
Dist_0001 , 0.0 , 10 , 0.01
Retail_0001 , 0.01 , 5 , 5.0
Retail_0002 , 0.01 , 1 , 1.0
Dist_0002 , 0.0 , 10 , 0.01
Retail_0003 , 0.01 , 5 , 5.0
Retail_0004 , 0.01 , 1 , 1.0
Dist_0003 , 0.0 , 10 , 0.01
Retail_0005 , 0.01 , 5 , 5.0
Retail_0006 , 0.01 , 1 , 1.0
Dist_0004 , 0.0 , 10 , 0.01
Retail_0007 , 0.01 , 5 , 5.0
Retail_0008 , 0.01 , 1 , 1.0
Dist_0005 , 0.0 , 10 , 0.01
Retail_0009 , 0.01 , 5 , 5.0
Retail_0010 , 0.01 , 1 , 1.0
Dist_0006 , 0.0 , 10 , 0.01
Retail_0011 , 0.01 , 5 , 5.0
Retail_0012 , 0.01 , 1 , 1.0
Dist_0007 , 0.0 , 10 , 0.01
Retail_0013 , 0.01 , 5 , 5.0
Retail_0014 , 0.01 , 1 , 1.0
Dist_0008 , 0.0 , 10 , 0.01
Retail_0015 , 0.01 , 5 , 5.0
Retail_0016 , 0.01 , 1 , 1.0
Dist_0009 , 0.0 , 10 , 0.01
Retail_0017 , 0.01 , 5 , 5.0
Retail_0018 , 0.01 , 1 , 1.0
Dist_0010 , -0.0 , 10 , 0.01
Retail_0019 , 0.01 , 5 , 5.0
Retail_0020 , 0.01 , 1 , 1.0
Dist_0011 , 0.0 , 10 , 0.01
Retail_0021 , 0.01 , 5 , 5.0
Retail_0022 , 0.01 , 1 , 1.0
Dist_0012 , -0.0 , 10 , 0.01
Retail_0023 , 0.01 , 5 , 5.0
Retail_0024 , 0.01 , 1 , 1.0
Dist_0013 , -0.0 , 10 , 0.01
Retail_0025 , 0.01 , 5 , 5.0
Retail_0026 , 0.01 , 1 , 1.0
Dist_0014 , -0.0 , 10 , 0.01
Retail_0027 , 0.01 , 5 , 5.0
Retail_0028 , 0.01 , 1 , 1.0
Dist_0015 , -0.0 , 10 , 0.01
Retail_0029 , 0.01 , 5 , 5.0
Retail_0030 , 0.01 , 1 , 1.0
Dist_0016 , -0.0 , 10 , 0.01
Retail_0031 , 0.01 , 5 , 5.0
Retail_0032 , 0.01 , 1 , 1.0
Dist_0017 , -0.0 , 10 , 0.01
Retail_0033 , 0.01 , 5 , 5.0
Retail_0034 , 0.01 , 1 , 1.0
Manuf_0001 , 0.0 , 7 , 0.0
Manuf_0014 , 0.0 , 6 , 5.99
