Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 2.2720823287963867 ,seconds
------
The SC has, 156 , nodes and,  169 edges.
------
The value of the objective using Pyomo is, 108591.26 
stage, SI, time, S
Manuf_0001 , 0.0 , 3.45 , 0.0
Manuf_0003 , 0.0 , 2.0 , 1.99
Manuf_0002 , 0.0 , 3.45 , 0.0
Manuf_0006 , 1.99 , 1.0 , 2.98
Manuf_0004 , 0.0 , 1.0 , 0.0
Manuf_0008 , 0.0 , 3.45 , 2.45
Manuf_0005 , 0.0 , 2.0 , 1.99
Manuf_0009 , 1.99 , 2.0 , 0.0
Manuf_0010 , 2.98 , 2.0 , 0.0
Manuf_0007 , 0.0 , 3.0 , 0.0
Trans_0005 , 0.0 , 3.45 , 3.44
Trans_0008 , 2.45 , 1.0 , 3.44
Trans_0018 , 0.0 , 3.45 , 3.44
Trans_0019 , 0.0 , 22.8 , 2.44
Trans_0017 , 0.0 , 3.45 , 3.44
Trans_0028 , 0.0 , 32.6 , 3.44
Manuf_0011 , 0.0 , 3.45 , 3.44
Manuf_0015 , 3.44 , 1.0 , 4.43
Manuf_0012 , 0.0 , 18.0 , 3.44
Manuf_0018 , 3.44 , 1.0 , 4.43
Manuf_0013 , 1.45 , 1.0 , 2.44
Manuf_0039 , 2.44 , 2.0 , 4.43
Manuf_0014 , 2.44 , 2.0 , 4.43
Manuf_0043 , 4.43 , 1.0 , 0.0
Manuf_0016 , 3.44 , 1.0 , 4.43
Manuf_0017 , 3.44 , 1.0 , 4.43
Manuf_0019 , 0.0 , 45.0 , 4.43
Manuf_0020 , 2.44 , 2.0 , 4.43
Manuf_0021 , 3.44 , 1.0 , 4.43
Manuf_0022 , 2.44 , 2.0 , 4.43
Manuf_0023 , 3.44 , 1.0 , 4.43
Manuf_0024 , 2.44 , 2.0 , 4.43
Manuf_0025 , 2.44 , 2.0 , 4.43
Manuf_0026 , 3.44 , 1.0 , 4.43
Manuf_0027 , 3.44 , 1.0 , 4.43
Manuf_0028 , 3.44 , 1.0 , 4.43
Manuf_0029 , 2.44 , 2.0 , 4.43
Manuf_0044 , 4.43 , 3.7 , 8.12
Manuf_0030 , 22.68 , 80.0 , 4.43
Manuf_0031 , 2.44 , 2.0 , 4.43
Manuf_0032 , 3.44 , 1.0 , 4.43
Manuf_0033 , 3.44 , 1.0 , 4.43
Manuf_0034 , 2.44 , 2.0 , 4.43
Manuf_0035 , 3.44 , 1.0 , 4.43
Manuf_0036 , 3.44 , 1.0 , 4.43
Manuf_0037 , 2.44 , 2.0 , 4.43
Manuf_0038 , 3.44 , 1.0 , 4.43
Manuf_0040 , 2.44 , 2.0 , 4.43
Manuf_0041 , 3.44 , 1.0 , 4.43
Manuf_0042 , 3.44 , 1.0 , 4.43
Trans_0031 , -0.0 , 7.0 , 4.01
Trans_0032 , -0.0 , 9.0 , 4.01
