Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 0.3005850315093994 ,seconds
------
The SC has, 49 , nodes and,  52 edges.
------
The value of the objective using Pyomo is, 524492.87 
stage, SI, time, S
Manuf_0001 , 0.0 , 2.0 , -0.0
Trans_0002 , -0.0 , 2.0 , 1.99
Manuf_0002 , 1.99 , 1.0 , -0.0
Dist_0001 , -0.0 , 3.0 , 2.0
Dist_0002 , -0.0 , 3.0 , 2.0
Dist_0003 , 0.0 , 4.29 , 2.0
Dist_0004 , 0.0 , 4.31 , 2.0
Manuf_0003 , 1.99 , 2.0 , -0.0
Dist_0005 , -0.0 , 3.0 , 2.0
Dist_0006 , -0.0 , 4.0 , 2.0
Dist_0007 , -0.0 , 5.88 , 2.0
Dist_0008 , 0.01 , 2.0 , 2.0
Dist_0009 , -0.0 , 4.59 , 2.0
Dist_0010 , -0.0 , 3.0 , 2.0
Dist_0011 , -0.0 , 5.16 , 2.0
Dist_0012 , 0.01 , 2.0 , 2.0
Dist_0013 , -0.0 , 4.0 , 2.0
Dist_0014 , -0.0 , 3.0 , 2.0
Dist_0015 , -0.0 , 3.0 , 2.0
Manuf_0004 , 1.99 , 1.0 , -0.0
Dist_0016 , -0.0 , 3.57 , 2.0
Dist_0017 , 0.01 , 2.0 , 2.0
Dist_0018 , -0.0 , 4.0 , 2.0
Dist_0019 , 0.01 , 2.0 , 2.0
Dist_0020 , -0.0 , 4.54 , 2.0
Dist_0021 , -0.0 , 4.51 , 2.0
Dist_0022 , -0.0 , 3.0 , 2.0
Dist_0023 , -0.0 , 3.0 , 2.0
Dist_0024 , -0.0 , 3.0 , 2.0
Dist_0025 , 0.01 , 2.0 , 2.0
Dist_0026 , -0.0 , 4.0 , 2.0
Part_0001 , 0.0 , 27.0 , 0.0
Part_0002 , 0.0 , 26.0 , 0.0
Part_0003 , 0.0 , 26.0 , 0.0
Part_0004 , 0.0 , 23.0 , 0.0
Part_0005 , 0.0 , 25.0 , 0.0
Part_0006 , 0.0 , 24.0 , 0.0
Part_0007 , 0.0 , 37.5 , -0.0
Trans_0001 , -0.0 , 2.0 , 1.99
Part_0008 , 0.0 , 37.5 , -0.0
Trans_0003 , -0.0 , 2.0 , 1.99
Part_0009 , 0.0 , 26.33 , 1.99
Part_0010 , 0.0 , 22.0 , 1.99
Part_0011 , 0.0 , 28.0 , 1.99
Part_0012 , 0.0 , 24.0 , 1.99
Part_0013 , 0.0 , 18.0 , 1.99
Part_0014 , 0.0 , 19.0 , 1.99
Part_0015 , 0.0 , 21.0 , 1.99
Part_0016 , 0.0 , 24.0 , 1.99
