Stage , Degree , In_Edges , Out_Edges , Depth
Dist_0001 , 3 , 1 , 2 , 3
Dist_0191 , 1 , 1 , 0 , 2
Manuf_0078 , 7 , 2 , 5 , 2
Dist_0002 , 2 , 1 , 1 , 3
Dist_0192 , 1 , 1 , 0 , 2
Dist_0003 , 2 , 1 , 1 , 3
Dist_0193 , 1 , 1 , 0 , 2
Dist_0004 , 2 , 1 , 1 , 3
Dist_0194 , 1 , 1 , 0 , 2
Dist_0005 , 2 , 1 , 1 , 3
Dist_0195 , 1 , 1 , 0 , 2
Dist_0006 , 5 , 1 , 4 , 3
Dist_0196 , 1 , 1 , 0 , 2
Dist_0197 , 1 , 1 , 0 , 2
Dist_0198 , 1 , 1 , 0 , 2
Dist_0199 , 1 , 1 , 0 , 2
Dist_0007 , 4 , 1 , 3 , 3
Dist_0200 , 1 , 1 , 0 , 2
Dist_0201 , 1 , 1 , 0 , 2
Dist_0202 , 1 , 1 , 0 , 2
Dist_0008 , 2 , 1 , 1 , 3
Dist_0203 , 1 , 1 , 0 , 2
Dist_0009 , 2 , 1 , 1 , 3
Dist_0204 , 1 , 1 , 0 , 2
Dist_0010 , 7 , 1 , 6 , 3
Dist_0205 , 1 , 1 , 0 , 2
Dist_0206 , 1 , 1 , 0 , 2
Dist_0207 , 1 , 1 , 0 , 2
Dist_0208 , 1 , 1 , 0 , 2
Dist_0209 , 1 , 1 , 0 , 2
Manuf_0079 , 9 , 4 , 5 , 2
Dist_0011 , 7 , 1 , 6 , 3
Dist_0210 , 1 , 1 , 0 , 2
Dist_0211 , 1 , 1 , 0 , 2
Dist_0212 , 1 , 1 , 0 , 2
Dist_0213 , 1 , 1 , 0 , 2
Dist_0214 , 1 , 1 , 0 , 2
Dist_0012 , 5 , 1 , 4 , 3
Dist_0215 , 1 , 1 , 0 , 2
Dist_0216 , 1 , 1 , 0 , 2
Dist_0217 , 1 , 1 , 0 , 2
Dist_0218 , 1 , 1 , 0 , 2
Dist_0013 , 4 , 1 , 3 , 3
Dist_0219 , 1 , 1 , 0 , 2
