Stage , Degree , In_Edges , Out_Edges , Depth
Dist_0001 , 4 , 0 , 4 , 3
Manuf_0001 , 6 , 1 , 5 , 2
Manuf_0004 , 10 , 5 , 5 , 2
Manuf_0005 , 10 , 5 , 5 , 2
Retail_0001 , 1 , 1 , 0 , 2
Dist_0002 , 9 , 0 , 9 , 3
Manuf_0002 , 6 , 1 , 5 , 2
Manuf_0006 , 6 , 1 , 5 , 2
Retail_0002 , 1 , 1 , 0 , 2
Retail_0005 , 1 , 1 , 0 , 2
Retail_0006 , 1 , 1 , 0 , 2
Retail_0007 , 1 , 1 , 0 , 2
Retail_0008 , 1 , 1 , 0 , 2
Dist_0003 , 8 , 0 , 8 , 3
Manuf_0003 , 6 , 1 , 5 , 2
Retail_0003 , 1 , 1 , 0 , 2
Retail_0004 , 1 , 1 , 0 , 2
Retail_0009 , 1 , 1 , 0 , 2
Retail_0010 , 1 , 1 , 0 , 2
Retail_0011 , 1 , 1 , 0 , 2
Dist_0004 , 8 , 0 , 8 , 3
Manuf_0007 , 6 , 1 , 5 , 2
Retail_0012 , 1 , 1 , 0 , 2
Retail_0013 , 1 , 1 , 0 , 2
Retail_0014 , 1 , 1 , 0 , 2
Retail_0015 , 1 , 1 , 0 , 2
Retail_0016 , 1 , 1 , 0 , 2
Dist_0005 , 9 , 0 , 9 , 3
Manuf_0008 , 6 , 1 , 5 , 2
Manuf_0009 , 6 , 1 , 5 , 2
Retail_0017 , 1 , 1 , 0 , 2
Retail_0018 , 1 , 1 , 0 , 2
Retail_0019 , 1 , 1 , 0 , 2
Retail_0020 , 1 , 1 , 0 , 2
Retail_0021 , 1 , 1 , 0 , 2
Retail_0022 , 1 , 1 , 0 , 1
Trans_0001 , 2 , 1 , 1 , 1
Trans_0002 , 2 , 1 , 1 , 1
Trans_0003 , 2 , 1 , 1 , 1
Trans_0004 , 2 , 1 , 1 , 1
Retail_0023 , 1 , 1 , 0 , 1
Trans_0005 , 2 , 1 , 1 , 1
Trans_0006 , 2 , 1 , 1 , 1
Trans_0007 , 2 , 1 , 1 , 1
Trans_0008 , 2 , 1 , 1 , 1
Retail_0024 , 1 , 1 , 0 , 1
Trans_0009 , 2 , 1 , 1 , 1
Trans_0010 , 2 , 1 , 1 , 1
Trans_0011 , 2 , 1 , 1 , 1
Trans_0012 , 2 , 1 , 1 , 1
Retail_0025 , 1 , 1 , 0 , 1
Trans_0013 , 2 , 1 , 1 , 1
Trans_0014 , 2 , 1 , 1 , 1
Trans_0015 , 2 , 1 , 1 , 1
Trans_0016 , 2 , 1 , 1 , 1
Retail_0026 , 1 , 1 , 0 , 1
Trans_0017 , 2 , 1 , 1 , 1
Trans_0018 , 2 , 1 , 1 , 1
Trans_0019 , 2 , 1 , 1 , 1
Trans_0020 , 2 , 1 , 1 , 1
Retail_0027 , 1 , 1 , 0 , 1
Trans_0021 , 2 , 1 , 1 , 1
Trans_0022 , 2 , 1 , 1 , 1
Trans_0023 , 2 , 1 , 1 , 1
Trans_0024 , 2 , 1 , 1 , 1
Retail_0028 , 1 , 1 , 0 , 1
Trans_0025 , 2 , 1 , 1 , 1
Trans_0026 , 2 , 1 , 1 , 1
Trans_0027 , 2 , 1 , 1 , 1
Trans_0028 , 2 , 1 , 1 , 1
Retail_0029 , 1 , 1 , 0 , 1
Trans_0029 , 2 , 1 , 1 , 1
Trans_0030 , 2 , 1 , 1 , 1
Trans_0031 , 2 , 1 , 1 , 1
Trans_0032 , 2 , 1 , 1 , 1
Retail_0030 , 1 , 1 , 0 , 1
Trans_0033 , 2 , 1 , 1 , 1
Trans_0034 , 2 , 1 , 1 , 1
Trans_0035 , 2 , 1 , 1 , 1
Trans_0036 , 2 , 1 , 1 , 1
Retail_0031 , 1 , 1 , 0 , 0
Retail_0032 , 1 , 1 , 0 , 0
Retail_0033 , 1 , 1 , 0 , 0
Retail_0034 , 1 , 1 , 0 , 0
Retail_0035 , 1 , 1 , 0 , 0
Retail_0036 , 1 , 1 , 0 , 0
Retail_0037 , 1 , 1 , 0 , 0
Retail_0038 , 1 , 1 , 0 , 0
Retail_0039 , 1 , 1 , 0 , 0
Retail_0040 , 1 , 1 , 0 , 0
Retail_0041 , 1 , 1 , 0 , 0
Retail_0042 , 1 , 1 , 0 , 0
Retail_0043 , 1 , 1 , 0 , 0
Retail_0044 , 1 , 1 , 0 , 0
Retail_0045 , 1 , 1 , 0 , 0
Retail_0046 , 1 , 1 , 0 , 0
Retail_0047 , 1 , 1 , 0 , 0
Retail_0048 , 1 , 1 , 0 , 0
Retail_0049 , 1 , 1 , 0 , 0
Retail_0050 , 1 , 1 , 0 , 0
Retail_0051 , 1 , 1 , 0 , 0
Retail_0052 , 1 , 1 , 0 , 0
Retail_0053 , 1 , 1 , 0 , 0
Retail_0054 , 1 , 1 , 0 , 0
Retail_0055 , 1 , 1 , 0 , 0
Retail_0056 , 1 , 1 , 0 , 0
Retail_0057 , 1 , 1 , 0 , 0
Retail_0058 , 1 , 1 , 0 , 0
Retail_0059 , 1 , 1 , 0 , 0
Retail_0060 , 1 , 1 , 0 , 0
Retail_0061 , 1 , 1 , 0 , 0
Retail_0062 , 1 , 1 , 0 , 0
Retail_0063 , 1 , 1 , 0 , 0
Retail_0064 , 1 , 1 , 0 , 0
Retail_0065 , 1 , 1 , 0 , 0
Retail_0066 , 1 , 1 , 0 , 0
