Stage , Degree , In_Edges , Out_Edges , Depth
Dist_0001 , 10 , 9 , 1 , 1
Retail_0001 , 1 , 1 , 0 , 0
Dist_0002 , 11 , 10 , 1 , 1
Retail_0002 , 1 , 1 , 0 , 0
Dist_0003 , 11 , 10 , 1 , 1
Retail_0003 , 1 , 1 , 0 , 0
Dist_0004 , 12 , 11 , 1 , 1
Retail_0004 , 1 , 1 , 0 , 0
Dist_0005 , 10 , 9 , 1 , 1
Retail_0005 , 1 , 1 , 0 , 0
Dist_0006 , 13 , 12 , 1 , 1
Retail_0006 , 1 , 1 , 0 , 0
Dist_0007 , 21 , 20 , 1 , 1
Retail_0007 , 1 , 1 , 0 , 0
Dist_0008 , 10 , 9 , 1 , 1
Retail_0008 , 1 , 1 , 0 , 0
Dist_0009 , 9 , 8 , 1 , 1
Retail_0009 , 1 , 1 , 0 , 0
Dist_0010 , 9 , 8 , 1 , 1
Retail_0010 , 1 , 1 , 0 , 0
Dist_0011 , 11 , 10 , 1 , 1
Retail_0011 , 1 , 1 , 0 , 0
Dist_0012 , 13 , 12 , 1 , 1
Retail_0012 , 1 , 1 , 0 , 0
Manuf_0001 , 2 , 1 , 1 , 3
Manuf_0014 , 4 , 3 , 1 , 2
Manuf_0002 , 2 , 1 , 1 , 3
Manuf_0003 , 2 , 1 , 1 , 3
Manuf_0025 , 82 , 81 , 1 , 2
Manuf_0004 , 3 , 1 , 2 , 3
Manuf_0027 , 12 , 11 , 1 , 2
Manuf_0034 , 37 , 36 , 1 , 2
Manuf_0005 , 3 , 1 , 2 , 3
Manuf_0032 , 47 , 46 , 1 , 2
Manuf_0006 , 3 , 1 , 2 , 3
Manuf_0007 , 2 , 1 , 1 , 3
Manuf_0008 , 2 , 1 , 1 , 3
Manuf_0009 , 3 , 1 , 2 , 3
Manuf_0036 , 24 , 23 , 1 , 2
Manuf_0038 , 73 , 72 , 1 , 2
Manuf_0010 , 3 , 1 , 2 , 3
Manuf_0011 , 2 , 1 , 1 , 3
Manuf_0012 , 2 , 1 , 1 , 3
Manuf_0013 , 2 , 1 , 1 , 3
Manuf_0015 , 19 , 18 , 1 , 2
Manuf_0016 , 4 , 3 , 1 , 2
Manuf_0017 , 90 , 89 , 1 , 2
Manuf_0018 , 4 , 3 , 1 , 2
Manuf_0019 , 83 , 82 , 1 , 2
Manuf_0020 , 4 , 3 , 1 , 2
Manuf_0021 , 69 , 68 , 1 , 2
Manuf_0022 , 4 , 3 , 1 , 2
Manuf_0023 , 86 , 85 , 1 , 2
Manuf_0024 , 4 , 3 , 1 , 2
Manuf_0026 , 4 , 3 , 1 , 2
Manuf_0028 , 56 , 55 , 1 , 2
Manuf_0029 , 4 , 3 , 1 , 2
Manuf_0030 , 85 , 84 , 1 , 2
Manuf_0031 , 4 , 3 , 1 , 2
Manuf_0033 , 4 , 3 , 1 , 2
Manuf_0035 , 4 , 3 , 1 , 2
Manuf_0037 , 4 , 3 , 1 , 2
Part_0001 , 2 , 0 , 2 , 4
Part_0260 , 2 , 1 , 1 , 3
Part_0002 , 2 , 0 , 2 , 4
Part_0259 , 2 , 1 , 1 , 3
Part_0003 , 2 , 0 , 2 , 4
Part_0004 , 2 , 0 , 2 , 4
Part_0005 , 2 , 0 , 2 , 4
Part_0006 , 2 , 0 , 2 , 4
Part_0007 , 1 , 0 , 1 , 4
Part_0008 , 1 , 0 , 1 , 4
Part_0009 , 1 , 0 , 1 , 4
Part_0010 , 1 , 0 , 1 , 3
Part_0011 , 1 , 0 , 1 , 3
Part_0012 , 1 , 0 , 1 , 3
Part_0013 , 9 , 0 , 9 , 3
Part_0014 , 1 , 0 , 1 , 3
Part_0015 , 1 , 0 , 1 , 3
Part_0016 , 1 , 0 , 1 , 3
Part_0017 , 1 , 0 , 1 , 3
Part_0018 , 8 , 0 , 8 , 3
Part_0019 , 1 , 0 , 1 , 3
Part_0020 , 1 , 0 , 1 , 3
Part_0021 , 1 , 0 , 1 , 3
Part_0022 , 1 , 0 , 1 , 3
Part_0023 , 11 , 0 , 11 , 3
Part_0024 , 11 , 0 , 11 , 3
Part_0025 , 5 , 0 , 5 , 3
Part_0026 , 9 , 0 , 9 , 3
Part_0027 , 1 , 0 , 1 , 3
Part_0028 , 1 , 0 , 1 , 3
Part_0029 , 2 , 0 , 2 , 3
Part_0030 , 2 , 0 , 2 , 3
Part_0031 , 2 , 0 , 2 , 3
Part_0032 , 4 , 0 , 4 , 3
Part_0033 , 3 , 0 , 3 , 3
Part_0034 , 4 , 0 , 4 , 3
Part_0035 , 4 , 0 , 4 , 3
Part_0036 , 7 , 0 , 7 , 3
Part_0037 , 2 , 0 , 2 , 3
Part_0038 , 1 , 0 , 1 , 3
Part_0039 , 2 , 0 , 2 , 3
Part_0040 , 4 , 0 , 4 , 3
Part_0041 , 1 , 0 , 1 , 3
Part_0042 , 1 , 0 , 1 , 3
Part_0043 , 2 , 0 , 2 , 3
Part_0044 , 2 , 0 , 2 , 3
Part_0045 , 2 , 0 , 2 , 3
Part_0046 , 5 , 0 , 5 , 3
Part_0047 , 5 , 0 , 5 , 3
Part_0048 , 4 , 0 , 4 , 3
Part_0049 , 2 , 0 , 2 , 3
Part_0050 , 1 , 0 , 1 , 3
Part_0051 , 4 , 0 , 4 , 3
Part_0052 , 4 , 0 , 4 , 3
Part_0053 , 7 , 0 , 7 , 3
Part_0054 , 7 , 0 , 7 , 3
Part_0055 , 7 , 0 , 7 , 3
Part_0056 , 2 , 0 , 2 , 3
Part_0057 , 2 , 0 , 2 , 3
Part_0058 , 7 , 0 , 7 , 3
Part_0059 , 7 , 0 , 7 , 3
Part_0060 , 7 , 0 , 7 , 3
Part_0061 , 4 , 0 , 4 , 3
Part_0062 , 7 , 0 , 7 , 3
Part_0063 , 7 , 0 , 7 , 3
Part_0064 , 7 , 0 , 7 , 3
Part_0065 , 5 , 0 , 5 , 3
Part_0066 , 7 , 0 , 7 , 3
Part_0067 , 5 , 0 , 5 , 3
Part_0068 , 4 , 0 , 4 , 3
Part_0069 , 7 , 0 , 7 , 3
Part_0070 , 3 , 0 , 3 , 3
Part_0071 , 3 , 0 , 3 , 3
Part_0072 , 3 , 0 , 3 , 3
Part_0073 , 3 , 0 , 3 , 3
Part_0074 , 10 , 0 , 10 , 3
Part_0075 , 3 , 0 , 3 , 3
Part_0076 , 4 , 0 , 4 , 3
Part_0077 , 7 , 0 , 7 , 3
Part_0078 , 7 , 0 , 7 , 3
Part_0079 , 7 , 0 , 7 , 3
Part_0080 , 4 , 0 , 4 , 3
Part_0081 , 7 , 0 , 7 , 3
Part_0082 , 7 , 0 , 7 , 3
Part_0083 , 2 , 0 , 2 , 3
Part_0084 , 2 , 0 , 2 , 3
Part_0085 , 7 , 0 , 7 , 3
Part_0086 , 4 , 0 , 4 , 3
Part_0087 , 2 , 0 , 2 , 3
