Stage , Degree , In_Edges , Out_Edges , Depth
Manuf_0001 , 6 , 0 , 6 , 1
Manuf_0099 , 6 , 6 , 0 , 0
Manuf_0101 , 58 , 58 , 0 , 0
Manuf_0102 , 70 , 70 , 0 , 0
Manuf_0103 , 82 , 82 , 0 , 0
Manuf_0104 , 33 , 33 , 0 , 0
Manuf_0107 , 86 , 86 , 0 , 0
Manuf_0002 , 7 , 0 , 7 , 1
Manuf_0106 , 77 , 77 , 0 , 0
Manuf_0003 , 3 , 0 , 3 , 1
Manuf_0004 , 7 , 0 , 7 , 1
Manuf_0005 , 7 , 0 , 7 , 1
Manuf_0006 , 7 , 0 , 7 , 1
Manuf_0007 , 8 , 0 , 8 , 1
Manuf_0100 , 8 , 8 , 0 , 0
Manuf_0108 , 30 , 30 , 0 , 0
Manuf_0008 , 8 , 0 , 8 , 1
Manuf_0009 , 7 , 0 , 7 , 1
Manuf_0010 , 7 , 0 , 7 , 1
Manuf_0011 , 8 , 0 , 8 , 1
Manuf_0012 , 9 , 0 , 9 , 1
Manuf_0105 , 2 , 2 , 0 , 0
Manuf_0013 , 8 , 0 , 8 , 1
Manuf_0014 , 8 , 0 , 8 , 1
Manuf_0015 , 6 , 0 , 6 , 1
Manuf_0016 , 3 , 0 , 3 , 1
Manuf_0017 , 3 , 0 , 3 , 1
Manuf_0018 , 4 , 0 , 4 , 1
Manuf_0019 , 5 , 0 , 5 , 1
Manuf_0020 , 4 , 0 , 4 , 1
Manuf_0021 , 5 , 0 , 5 , 1
Manuf_0022 , 6 , 0 , 6 , 1
Manuf_0023 , 5 , 0 , 5 , 1
Manuf_0024 , 5 , 0 , 5 , 1
Manuf_0025 , 5 , 0 , 5 , 1
Manuf_0026 , 4 , 0 , 4 , 1
Manuf_0027 , 5 , 0 , 5 , 1
Manuf_0028 , 5 , 0 , 5 , 1
Manuf_0029 , 6 , 0 , 6 , 1
Manuf_0030 , 5 , 0 , 5 , 1
Manuf_0031 , 7 , 0 , 7 , 1
Manuf_0032 , 2 , 0 , 2 , 1
Manuf_0033 , 4 , 0 , 4 , 1
Manuf_0034 , 4 , 0 , 4 , 1
Manuf_0035 , 3 , 0 , 3 , 1
Manuf_0036 , 6 , 0 , 6 , 1
Manuf_0037 , 5 , 0 , 5 , 1
Manuf_0038 , 1 , 0 , 1 , 1
Manuf_0039 , 2 , 0 , 2 , 1
Manuf_0040 , 2 , 0 , 2 , 1
Manuf_0041 , 6 , 0 , 6 , 1
Manuf_0042 , 6 , 0 , 6 , 1
Manuf_0043 , 5 , 0 , 5 , 1
Manuf_0044 , 6 , 0 , 6 , 1
Manuf_0045 , 6 , 0 , 6 , 1
Manuf_0046 , 7 , 0 , 7 , 1
Manuf_0047 , 7 , 0 , 7 , 1
Manuf_0048 , 6 , 0 , 6 , 1
Manuf_0049 , 6 , 0 , 6 , 1
Manuf_0050 , 6 , 0 , 6 , 1
Manuf_0051 , 5 , 0 , 5 , 1
Manuf_0052 , 7 , 0 , 7 , 1
Manuf_0053 , 7 , 0 , 7 , 1
Manuf_0054 , 6 , 0 , 6 , 1
Manuf_0055 , 5 , 0 , 5 , 1
Manuf_0056 , 6 , 0 , 6 , 1
Manuf_0057 , 7 , 0 , 7 , 1
Manuf_0058 , 6 , 0 , 6 , 1
Manuf_0059 , 5 , 0 , 5 , 1
Manuf_0060 , 3 , 0 , 3 , 1
Manuf_0061 , 4 , 0 , 4 , 1
Manuf_0062 , 3 , 0 , 3 , 1
Manuf_0063 , 3 , 0 , 3 , 1
Manuf_0064 , 4 , 0 , 4 , 1
Manuf_0065 , 2 , 0 , 2 , 1
Manuf_0066 , 4 , 0 , 4 , 1
Manuf_0067 , 4 , 0 , 4 , 1
Manuf_0068 , 5 , 0 , 5 , 1
Manuf_0069 , 5 , 0 , 5 , 1
Manuf_0070 , 4 , 0 , 4 , 1
Manuf_0071 , 3 , 0 , 3 , 1
Manuf_0072 , 2 , 0 , 2 , 1
Manuf_0073 , 5 , 0 , 5 , 1
Manuf_0074 , 5 , 0 , 5 , 1
Manuf_0075 , 5 , 0 , 5 , 1
Manuf_0076 , 4 , 0 , 4 , 1
Manuf_0077 , 5 , 0 , 5 , 1
Manuf_0078 , 4 , 0 , 4 , 1
Manuf_0079 , 2 , 0 , 2 , 1
Manuf_0080 , 3 , 0 , 3 , 1
Manuf_0081 , 2 , 0 , 2 , 1
Manuf_0082 , 3 , 0 , 3 , 1
Manuf_0083 , 2 , 0 , 2 , 1
Manuf_0084 , 3 , 0 , 3 , 1
Manuf_0085 , 3 , 0 , 3 , 1
Manuf_0086 , 3 , 0 , 3 , 1
Manuf_0087 , 2 , 0 , 2 , 1
Manuf_0088 , 2 , 0 , 2 , 1
Manuf_0089 , 3 , 0 , 3 , 1
Manuf_0090 , 4 , 0 , 4 , 1
Manuf_0091 , 1 , 0 , 1 , 1
Manuf_0092 , 1 , 0 , 1 , 1
Manuf_0093 , 2 , 0 , 2 , 1
Manuf_0094 , 4 , 0 , 4 , 1
Manuf_0095 , 3 , 0 , 3 , 1
Manuf_0096 , 4 , 0 , 4 , 1
Manuf_0097 , 2 , 0 , 2 , 1
Manuf_0098 , 2 , 0 , 2 , 1
