Stage , Degree , In_Edges , Out_Edges , Depth
Dist_0001 , 2 , 1 , 1 , 1
Retail_0029 , 1 , 1 , 0 , 0
Dist_0002 , 2 , 1 , 1 , 1
Retail_0030 , 1 , 1 , 0 , 0
Dist_0003 , 2 , 1 , 1 , 1
Retail_0031 , 1 , 1 , 0 , 0
Dist_0004 , 2 , 1 , 1 , 1
Retail_0032 , 1 , 1 , 0 , 0
Dist_0005 , 2 , 1 , 1 , 1
Retail_0033 , 1 , 1 , 0 , 0
Dist_0006 , 2 , 1 , 1 , 1
Retail_0034 , 1 , 1 , 0 , 0
Dist_0007 , 2 , 1 , 1 , 1
Retail_0035 , 1 , 1 , 0 , 0
Dist_0008 , 2 , 1 , 1 , 1
Retail_0036 , 1 , 1 , 0 , 0
Dist_0009 , 2 , 1 , 1 , 1
Retail_0037 , 1 , 1 , 0 , 0
Dist_0010 , 2 , 1 , 1 , 1
Retail_0038 , 1 , 1 , 0 , 0
Dist_0011 , 2 , 1 , 1 , 1
Retail_0039 , 1 , 1 , 0 , 0
Dist_0012 , 2 , 1 , 1 , 1
Retail_0040 , 1 , 1 , 0 , 0
Dist_0013 , 2 , 1 , 1 , 1
Retail_0041 , 1 , 1 , 0 , 0
Dist_0014 , 2 , 1 , 1 , 1
Retail_0042 , 1 , 1 , 0 , 0
Dist_0015 , 2 , 1 , 1 , 1
Retail_0043 , 1 , 1 , 0 , 0
Dist_0016 , 2 , 1 , 1 , 1
Retail_0044 , 1 , 1 , 0 , 0
Dist_0017 , 2 , 1 , 1 , 1
Retail_0045 , 1 , 1 , 0 , 0
Dist_0018 , 2 , 1 , 1 , 1
Retail_0046 , 1 , 1 , 0 , 0
Dist_0019 , 2 , 1 , 1 , 1
Retail_0047 , 1 , 1 , 0 , 0
Dist_0020 , 2 , 1 , 1 , 1
Retail_0048 , 1 , 1 , 0 , 0
Dist_0021 , 2 , 1 , 1 , 1
Retail_0049 , 1 , 1 , 0 , 0
Dist_0022 , 2 , 1 , 1 , 1
Retail_0050 , 1 , 1 , 0 , 0
Dist_0023 , 2 , 1 , 1 , 1
Retail_0051 , 1 , 1 , 0 , 0
Dist_0024 , 2 , 1 , 1 , 1
Retail_0052 , 1 , 1 , 0 , 0
Dist_0025 , 2 , 1 , 1 , 1
Retail_0053 , 1 , 1 , 0 , 0
Dist_0026 , 2 , 1 , 1 , 1
Retail_0054 , 1 , 1 , 0 , 0
Dist_0027 , 2 , 1 , 1 , 1
Retail_0055 , 1 , 1 , 0 , 0
Dist_0028 , 2 , 1 , 1 , 1
Retail_0056 , 1 , 1 , 0 , 0
Manuf_0001 , 5 , 3 , 2 , 2
Retail_0001 , 1 , 1 , 0 , 1
Manuf_0002 , 5 , 3 , 2 , 2
Retail_0002 , 1 , 1 , 0 , 1
Manuf_0003 , 5 , 3 , 2 , 2
Retail_0003 , 1 , 1 , 0 , 1
Manuf_0004 , 5 , 3 , 2 , 2
Retail_0004 , 1 , 1 , 0 , 1
Manuf_0005 , 5 , 3 , 2 , 2
Retail_0005 , 1 , 1 , 0 , 1
Manuf_0006 , 5 , 3 , 2 , 2
Retail_0006 , 1 , 1 , 0 , 1
Manuf_0007 , 5 , 3 , 2 , 2
Retail_0007 , 1 , 1 , 0 , 1
Manuf_0008 , 5 , 3 , 2 , 2
Retail_0008 , 1 , 1 , 0 , 1
Manuf_0009 , 4 , 2 , 2 , 2
Retail_0009 , 1 , 1 , 0 , 1
Manuf_0010 , 4 , 2 , 2 , 2
