Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (mac64[rosetta2])
Thread count: 10 physical cores, 10 logical processors, using up to 10 threads
Optimize a model with 1091 rows, 886 columns and 2032 nonzeros
Model fingerprint: 0xa7a36ef2
Model has 271 general constraints
Variable types: 542 continuous, 344 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [5e-01, 9e+03]
  Bounds range     [2e+00, 8e+01]
  RHS range        [2e+00, 6e+01]

User MIP start produced solution with objective 348154 (1.17s)
User MIP start produced solution with objective 345095 (1.51s)
User MIP start produced solution with objective 334029 (1.63s)
User MIP start produced solution with objective 313934 (2.04s)
Loaded user MIP start with objective 313934
Processed MIP start in 3.05 seconds (2.21 work units)

Presolve added 231 rows and 28190 columns
Presolve time: 0.07s
Presolved: 1322 rows, 29076 columns, 86388 nonzeros
Presolved model has 270 SOS constraint(s)
Variable types: 28748 continuous, 328 integer (0 binary)

Root relaxation: objective 2.171128e+05, 707 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 217112.788    0  143 313933.667 217112.788  30.8%     -    4s
     0     0 231112.138    0  143 313933.667 231112.138  26.4%     -    5s
     0     2 231112.138    0  143 313933.667 231112.138  26.4%     -    6s
  2020  1239 249529.657   26  970 313933.667 231112.138  26.4%   4.2   10s
  8021  5071 256416.489   98  620 313933.667 235466.760  25.0%   4.4   15s
 15790 11425 268612.424  189  399 313933.667 236151.549  24.8%   5.2   20s
*18962 11798             738    282473.71326 236151.549  16.4%   5.2   22s
H19078 11775                    282471.79459 236151.549  16.4%   5.2   23s
H19079 11513                    282328.12633 236151.549  16.4%   5.2   23s
H19080 11388                    281983.33051 236151.549  16.3%   5.2   23s
H19084  9964                    278182.36637 236151.549  15.1%   5.2   23s
 20823 11678 274548.779  415  257 278182.366 236151.549  15.1%   5.2   25s
*25369 11462             666    271903.86763 238450.125  12.3%   5.1   27s
 30451 15092 251390.184   67  518 271903.868 238620.159  12.2%   5.2   30s
*32088 11401             513    267504.00871 238620.159  10.8%   5.3   30s
*32570  8260             593    262767.87206 238620.159  9.19%   5.3   31s
H33199  7779                    262409.81437 238620.159  9.07%   5.4   43s
 33209  7781 254283.312   79 1848 262409.814 249444.951  4.94%   5.4   45s
 33221  7789 255096.335   80 1879 262409.814 249866.982  4.78%   5.4   50s
 33231  7796 255820.319   73 1886 262409.814 249903.405  4.77%   5.3   55s
 33239  7801 259166.866  116 1891 262409.814 250004.007  4.73%   5.3   60s
 33252  7810 250022.905   43 1902 262409.814 250022.905  4.72%   5.3   65s
 33263  7817 262345.513  169 1902 262409.814 250033.063  4.72%   5.3   70s
 33271  7822 250035.565   42 1902 262409.814 250035.565  4.72%   5.3   75s
 33273  7826 250044.987   21 1901 262409.814 250044.987  4.71%   5.7   84s
 33290  7843 250081.731   25 1808 262409.814 250044.987  4.71%   5.7   85s
H33392  7517                    262191.86958 250044.987  4.63%   5.8   87s
H33394  7143                    261571.49120 250044.987  4.41%   5.8   87s
H33436  6814                    261397.24102 250044.987  4.34%   5.8   87s
 33477  6843 252559.405   44 1834 261397.241 250044.987  4.34%   5.8   90s
H33479  6506                    261088.52527 250044.987  4.23%   5.8   90s
H33481  6185                    261066.70222 250044.987  4.22%   5.8   90s
 34539  6648 255229.727   42 1731 261066.702 250046.408  4.22%   6.7   96s
H34541  6344                    261061.43028 250046.408  4.22%   6.7   96s
H34544  6053                    260949.60432 250046.408  4.18%   6.7   96s
H34549  5727                    260287.47594 250046.408  3.93%   6.7  106s
H34553  5461                    260127.46490 250046.408  3.88%   6.7  106s
 35994  6097 255508.020   37 1753 260127.465 250103.404  3.85%   8.5  110s
 38414  6792 255535.318   32 1772 260127.465 250646.426  3.64%  12.1  115s
 40973  7482 254681.330   32 1757 260127.465 251464.165  3.33%  14.8  126s
 42903  8601 infeasible   34      260127.465 251957.971  3.14%  15.7  130s
 47409 10401 256433.808   49 1388 260127.465 252339.014  2.99%  18.3  135s
H47950  9584                    259791.82898 252339.014  2.87%  18.6  136s
H47951  8711                    259388.72273 252339.014  2.72%  18.6  136s
H47955  8416                    259229.25779 252339.014  2.66%  18.6  136s
 49661 10143 257424.809   44 1690 259229.258 252526.883  2.59%  20.2  142s
 52154 11326 254437.505   37 1659 259229.258 252641.730  2.54%  23.2  146s
 54651 12679 258573.801   41 1617 259229.258 252794.686  2.48%  26.1  150s
 57636 14491 255568.664   47 1528 259229.258 252992.878  2.41%  28.6  156s
 61161 16640 254974.210   35 1585 259229.258 253243.470  2.31%  30.7  161s
 63494 18052 257254.001   48 1121 259229.258 253332.594  2.27%  31.6  165s
 66819 20145 258399.990   39 1704 259229.258 253462.525  2.22%  33.5  171s
 70232 22157 257272.130   55  739 259229.258 253643.349  2.15%  35.6  176s
 72895 23120 256434.355   34 1438 259229.258 253742.236  2.12%  36.3  180s
H72917 23120                    259229.25776 253745.042  2.12%  36.4  180s
 75684 25483 255068.862   39 1207 259229.258 253840.298  2.08%  37.0  185s
 78639 27127 256094.478   43 1653 259229.258 253987.526  2.02%  38.0  190s
 82148 29291 257741.964   49 1704 259229.258 254107.323  1.98%  39.0  195s
 85770 31424 256195.184   46 1184 259229.258 254207.381  1.94%  40.1  201s
 89085 33342 258680.032   50 1393 259229.258 254275.920  1.91%  41.1  205s
 92160 35215 258650.268   62 1262 259229.258 254333.286  1.89%  41.7  210s
H93250 35272                    259229.25762 254362.152  1.88%  42.0  212s
H93334 35272                    259229.25753 254362.152  1.88%  42.1  212s
 94459 36513 255514.032   38 1617 259229.258 254383.927  1.87%  42.3  216s
 98048 38629 258775.519   63  719 259229.258 254479.316  1.83%  42.9  221s
 100239 39916     cutoff   38      259229.258 254509.285  1.82%  43.3  225s
 103790 41770 257232.800   54 1737 259229.258 254567.117  1.80%  44.1  230s
 108409 44486 256000.217   47 1147 259229.258 254644.840  1.77%  44.6  236s
 111744 46269 257916.224   55  740 259229.258 254686.394  1.75%  45.1  241s
 114968 47978 258634.709   91 1057 259229.258 254727.274  1.74%  45.5  245s
 117009 49769 256510.955   42 1642 259229.258 254762.822  1.72%  45.8  251s
 120694 51653 256822.896   48 1203 259229.258 254807.448  1.71%  46.3  256s
 124025 53477 257072.423   44 1576 259229.258 254838.071  1.69%  46.7  260s
 127484 55374 258154.558   37 1522 259229.258 254879.107  1.68%  47.0  265s
 130719 57459 255502.828   39 1379 259229.258 254919.988  1.66%  47.4  270s
 134311 59842     cutoff   44      259229.258 254956.206  1.65%  47.5  275s
 137921 61705 259079.318   91  870 259229.258 254998.308  1.63%  47.8  280s
 142194 64365     cutoff   85      259229.258 255036.568  1.62%  48.3  286s
 145664 66210 256384.113   40 1563 259229.258 255066.649  1.61%  48.5  291s
 149171 68325 259037.505   47 1432 259229.258 255088.428  1.60%  48.7  295s
