Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 128.2435917854309 ,seconds
------
The SC has, 1386 , nodes and,  1857 edges.
------
The value of the objective using Pyomo is, 1228047.40 
stage, SI, time, S
Manuf_0001 , 0.0 , 2 , 1.99
Manuf_0614 , 1.99 , 2 , 0.0
Manuf_0002 , 0.0 , 2 , 1.99
Manuf_0003 , 0.0 , 2 , 1.99
Manuf_0004 , 0.0 , 2 , 1.99
Manuf_0005 , 0.0 , 2 , 1.99
Manuf_0006 , 0.0 , 2 , 1.99
Manuf_0007 , 0.0 , 2 , 1.99
Manuf_0008 , 0.0 , 2 , 1.99
Manuf_0009 , 1.0 , 1 , 1.99
Manuf_0010 , 0.0 , 2 , 1.99
Manuf_0011 , 0.0 , 2 , 0.0
Manuf_0615 , 0.0 , 2 , 1.99
Manuf_0616 , 0.0 , 2 , 1.99
Manuf_0618 , 0.0 , 2 , 1.99
Manuf_0622 , 0.0 , 2 , 1.99
Manuf_0012 , 0.0 , 2 , 0.0
Manuf_0013 , 0.0 , 2 , 0.0
Manuf_0014 , 0.0 , 2 , 0.0
Manuf_0617 , 0.0 , 2 , 1.99
Manuf_0619 , 0.0 , 2 , 1.99
Manuf_0621 , 0.0 , 2 , 1.99
Manuf_0015 , 0.0 , 2 , 0.0
Manuf_0016 , 0.0 , 2 , 0.0
Manuf_0017 , 0.0 , 2 , 0.0
Manuf_0018 , 0.0 , 2 , 0.0
Manuf_0019 , 0.0 , 2 , 0.0
Manuf_0020 , 0.0 , 2 , 0.0
Manuf_0021 , 0.0 , 2 , 0.0
Manuf_0022 , 0.0 , 2 , 0.0
Manuf_0023 , 0.0 , 2 , 0.0
Manuf_0024 , 0.0 , 2 , 0.0
Manuf_0025 , 0.0 , 2 , 0.0
Manuf_0026 , 0.0 , 2 , 0.0
Manuf_0027 , 0.0 , 2 , 0.0
Manuf_0028 , 0.0 , 2 , 0.0
Manuf_0029 , 0.0 , 2 , 0.0
Manuf_0030 , 0.0 , 2 , 0.0
Manuf_0031 , 0.0 , 2 , 0.0
Manuf_0032 , 0.0 , 2 , 0.0
Manuf_0033 , 0.0 , 2 , 0.0
Manuf_0034 , 0.0 , 2 , 0.0
Manuf_0035 , 0.0 , 2 , 0.0
Manuf_0036 , 0.0 , 2 , 0.0
Manuf_0037 , 0.0 , 2 , 0.0
Manuf_0038 , 0.0 , 2 , 0.0
Manuf_0039 , 0.0 , 2 , 0.0
Manuf_0040 , 0.0 , 2 , 0.0
Manuf_0041 , 0.0 , 2 , 0.0
Manuf_0042 , 0.0 , 2 , 0.0
Manuf_0043 , 0.0 , 2 , 0.0
Manuf_0044 , 0.0 , 2 , 0.0
Manuf_0045 , 0.0 , 2 , 0.0
Manuf_0046 , 0.0 , 2 , 0.0
Manuf_0047 , 0.0 , 2 , 0.0
Manuf_0048 , 0.0 , 2 , 0.0
Manuf_0049 , 0.0 , 2 , 0.0
Manuf_0050 , 0.0 , 2 , 0.0
Manuf_0051 , 0.0 , 2 , 0.0
Manuf_0052 , 0.0 , 2 , 0.0
Manuf_0053 , 0.0 , 2 , 0.0
Manuf_0054 , 0.0 , 2 , 0.0
Manuf_0055 , 0.0 , 2 , 0.0
Manuf_0056 , 0.0 , 2 , 0.0
Manuf_0057 , 0.0 , 2 , 0.0
Manuf_0058 , 0.0 , 2 , 0.0
Manuf_0059 , 0.0 , 2 , 0.0
Manuf_0060 , 0.0 , 2 , 0.0
Manuf_0061 , 0.0 , 2 , 0.0
Manuf_0062 , 0.0 , 2 , 0.0
Manuf_0620 , 0.0 , 2 , 1.99
Manuf_0063 , 0.0 , 2 , 0.0
Manuf_0064 , 0.0 , 2 , 0.0
Manuf_0065 , 0.0 , 2 , 0.0
Manuf_0066 , 0.0 , 2 , 0.0
Manuf_0067 , 0.0 , 2 , 0.0
Manuf_0068 , 0.0 , 2 , 0.0
Manuf_0069 , 0.0 , 2 , 0.0
Manuf_0070 , 0.0 , 2 , 0.0
Manuf_0071 , 0.0 , 2 , 0.0
Manuf_0072 , 0.0 , 2 , 0.0
Manuf_0073 , 0.0 , 2 , 0.0
Manuf_0074 , 0.0 , 2 , 0.0
Manuf_0075 , 0.0 , 2 , 0.0
Manuf_0076 , 0.0 , 2 , 0.0
Manuf_0077 , 0.0 , 2 , 0.0
Manuf_0078 , 0.0 , 2 , 0.0
Manuf_0079 , 0.0 , 2 , 0.0
Manuf_0080 , 0.0 , 2 , 0.0
Manuf_0081 , 0.0 , 2 , 0.0
Manuf_0082 , 0.0 , 2 , 0.0
Manuf_0083 , 0.0 , 2 , 0.0
