Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 0.38712191581726074 ,seconds
------
The SC has, 40 , nodes and,  48 edges.
------
The value of the objective using Pyomo is, 1052541.81 
stage, SI, time, S
Dist_0001 , 8.79 , 9.5 , 2.39
Manuf_0001 , 2.39 , 1.0 , 3.38
Manuf_0002 , 2.39 , 1.0 , 3.38
Dist_0002 , 3.99 , 9.5 , 2.39
Dist_0003 , 3.99 , 9.5 , 2.39
Dist_0004 , 5.99 , 9.5 , 2.39
Dist_0005 , 3.99 , 9.5 , 2.39
Dist_0006 , 5.99 , 9.5 , 2.39
Dist_0007 , 5.99 , 9.5 , 2.39
Dist_0008 , 3.99 , 9.5 , 2.39
Dist_0009 , 2.73 , 4.0 , 0.01
Retail_0001 , 0.01 , 5.0 , 5.0
Dist_0010 , 2.73 , 4.0 , 0.01
Retail_0002 , 0.01 , 5.0 , 5.0
Trans_0011 , 3.38 , 17.5 , 0.0
Trans_0012 , 3.38 , 17.5 , 0.0
Manuf_0003 , -0.0 , 2.7438000000000002 , 2.73
Manuf_0004 , -0.0 , 2.7438000000000002 , 2.73
Part_0001 , 0.0 , 42.5 , 0.0
Trans_0001 , 0.0 , 8.8 , 8.79
Part_0002 , 0.0 , 40.0 , 0.0
Trans_0002 , 0.0 , 4.0 , 3.99
Part_0003 , 0.0 , 17.5 , 0.0
Trans_0003 , 0.0 , 4.0 , 3.99
Part_0004 , 0.0 , 38.0 , 0.0
Trans_0004 , 0.0 , 6.0 , 5.99
Part_0005 , 0.0 , 17.5 , 0.0
Trans_0005 , 0.0 , 4.0 , 3.99
Part_0006 , 0.0 , 40.0 , 0.0
Trans_0006 , 0.0 , 6.0 , 5.99
Part_0007 , 0.0 , 17.5 , 0.0
Trans_0007 , 0.0 , 6.0 , 5.99
Part_0008 , 0.0 , 40.0 , 0.0
Trans_0008 , 0.0 , 4.0 , 3.99
Part_0009 , 0.0 , 40.0 , 0.2
Trans_0009 , 0.2 , 2.2 , 2.39
Part_0010 , 0.0 , 42.5 , -0.0
Trans_0010 , -0.0 , 2.4 , 2.39
Part_0011 , 0.0 , 32.5 , 2.39
Part_0012 , 0.0 , 37.5 , 2.39
