Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 0.506803035736084 ,seconds
------
The SC has, 152 , nodes and,  211 edges.
------
The value of the objective using Pyomo is, 1146210.65 
stage, SI, time, S
Manuf_0001 , 2.01 , 1 , 0.52
Trans_0001 , 0.55 , 2 , 0.0
Manuf_0002 , 0.1 , 2 , 0.01
Dist_0001 , 0.04 , 1 , 0.22
Dist_0002 , 0.03 , 9 , 1.4
Dist_0003 , 0.03 , 4 , 0.82
Manuf_0003 , 0.06 , 2 , 0.01
Dist_0004 , 0.03 , 2 , 0.6
Dist_0005 , 0.03 , 6 , 1.06
Dist_0006 , 0.03 , 5 , 0.96
Manuf_0004 , 0.06 , 1 , 0.01
Dist_0007 , 0.03 , 2 , 0.59
Dist_0008 , 0.03 , 9 , 1.44
Dist_0009 , 0.03 , 5 , 0.96
Manuf_0005 , 0.06 , 2 , 0.01
Dist_0010 , 0.03 , 2 , 0.6
Dist_0011 , 0.03 , 9 , 1.44
Dist_0012 , 0.03 , 5 , 0.96
Manuf_0006 , 0.06 , 2 , 0.01
Dist_0013 , 0.03 , 1 , 0.26
Dist_0014 , 0.03 , 7 , 1.16
Dist_0015 , 0.03 , 6 , 1.06
Manuf_0007 , 0.06 , 1 , 0.01
Dist_0016 , 0.03 , 1 , 0.25
Dist_0017 , 0.03 , 10 , 1.58
Dist_0018 , 0.03 , 5 , 0.96
Manuf_0008 , 0.06 , 1 , 0.01
Dist_0019 , 0.03 , 2 , 0.6
Dist_0020 , 0.03 , 6 , 1.06
Dist_0021 , 0.03 , 6 , 1.06
Manuf_0009 , 0.06 , 2 , 0.01
Dist_0022 , 0.04 , 1 , 0.26
Dist_0023 , 0.03 , 5 , 0.96
Dist_0024 , 0.03 , 4 , 0.87
Manuf_0010 , 0.06 , 2 , 0.01
Dist_0025 , 0.03 , 1 , 0.26
Dist_0026 , 0.03 , 7 , 1.17
Dist_0027 , 0.03 , 5 , 0.96
Manuf_0011 , 0.06 , 2 , 0.01
Dist_0028 , 0.03 , 1 , 0.26
Dist_0029 , 0.03 , 6 , 1.06
Dist_0030 , 0.03 , 5 , 0.96
Manuf_0012 , 0.06 , 2 , 0.01
Dist_0031 , 0.03 , 1 , 0.26
Dist_0032 , 0.03 , 8 , 1.29
Dist_0033 , 0.03 , 5 , 0.96
Manuf_0013 , 0.06 , 2 , 0.01
Dist_0034 , 0.03 , 2 , 0.6
Dist_0035 , 0.03 , 6 , 1.06
Dist_0036 , 0.03 , 6 , 1.06
Manuf_0014 , 0.06 , 2 , 0.01
Dist_0037 , 0.03 , 2 , 0.6
Dist_0038 , 0.03 , 7 , 1.17
Dist_0039 , 0.03 , 4 , 0.87
Manuf_0015 , 0.06 , 1 , 0.01
Dist_0040 , 0.03 , 2 , 0.6
Dist_0041 , 0.03 , 8 , 1.29
Dist_0042 , 0.03 , 4 , 0.87
Manuf_0016 , 0.06 , 2 , 0.01
Dist_0043 , 0.03 , 1 , 0.26
Dist_0044 , 0.03 , 9 , 1.44
Dist_0045 , 0.03 , 4 , 0.87
Manuf_0017 , 0.06 , 1 , 0.01
Dist_0046 , 0.04 , 1 , 0.26
