Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 1.455388069152832 ,seconds
------
The SC has, 116 , nodes and,  119 edges.
------
The value of the objective using Pyomo is, 9214.62 
stage, SI, time, S
Dist_0001 , 0.0 , 109.83 , -0.0
Manuf_0001 , -0.0 , 8.0 , 0.92
Manuf_0004 , -0.0 , 8.0 , 0.49
Manuf_0005 , -0.0 , 6.0 , 1.68
Retail_0001 , 0.76 , 0.0 , 0.75
Dist_0002 , 0.0 , 67.17 , -0.0
Manuf_0002 , -0.0 , 9.0 , -0.0
Manuf_0006 , -0.0 , 6.0 , 0.0
Retail_0002 , 0.0 , 5.67 , 0.0
Retail_0005 , 0.0 , 3.8 , 0.0
Retail_0006 , 0.0 , 2.9 , 0.0
Retail_0007 , 0.76 , 0.0 , 0.75
Retail_0008 , 0.0 , 4.76 , 0.0
Dist_0003 , 0.0 , 58.0 , -0.0
Manuf_0003 , -0.0 , 9.0 , -0.0
Retail_0003 , 0.0 , 2.88 , 0.0
Retail_0004 , 0.0 , 4.32 , 0.0
Retail_0009 , 0.0 , 4.38 , 0.0
Retail_0010 , 0.0 , 3.56 , 0.0
Retail_0011 , 3.71 , 0.0 , 3.7
Dist_0004 , 0.0 , 105.96 , -0.0
Manuf_0007 , -0.0 , 6.0 , -0.0
Retail_0012 , 0.0 , 3.36 , 0.0
Retail_0013 , 2.99 , 0.0 , 2.98
Retail_0014 , 0.0 , 4.65 , 0.0
Retail_0015 , 0.0 , 3.39 , 0.0
Retail_0016 , 0.0 , 5.32 , 0.0
Dist_0005 , 0.0 , 49.0 , -0.0
Manuf_0008 , -0.0 , 9.0 , -0.0
Manuf_0009 , -0.0 , 9.0 , -0.0
Retail_0017 , 0.0 , 2.57 , 0.0
Retail_0018 , 0.0 , 3.77 , 0.0
Retail_0019 , 0.0 , 4.05 , 0.0
Retail_0020 , 3.71 , 0.0 , 3.7
Retail_0021 , 0.0 , 6.1 , 0.0
Retail_0022 , 3.09 , 0.0 , 3.08
Trans_0001 , 0.92 , 4.1 , 5.01
Trans_0002 , 0.92 , 10.02 , 1.01
Trans_0003 , 0.92 , 6.48 , 1.01
Trans_0004 , 1.81 , 3.21 , 5.01
Retail_0023 , 2.25 , 0.0 , 2.24
Trans_0005 , -0.0 , 4.95 , 0.01
Trans_0006 , -0.0 , 11.49 , 0.01
Trans_0007 , -0.0 , 6.6 , 6.01
Trans_0008 , -0.0 , 4.73 , 3.01
Retail_0024 , 4.45 , 0.0 , 4.44
Trans_0009 , -0.0 , 6.07 , 6.01
Trans_0010 , -0.0 , 14.17 , 1.01
Trans_0011 , -0.0 , 7.96 , 5.01
Trans_0012 , -0.0 , 4.47 , 3.01
Retail_0025 , 3.04 , 0.0 , 3.03
Trans_0013 , 0.49 , 4.08 , 4.56
Trans_0014 , 0.49 , 13.8 , 4.01
Trans_0015 , 0.49 , 7.24 , 1.01
Trans_0016 , 0.49 , 3.53 , 4.01
Retail_0026 , 1.86 , 0.0 , 1.85
Trans_0017 , 1.74 , 4.16 , 5.89
Trans_0018 , 2.44 , 12.49 , 14.92
Trans_0019 , 1.68 , 5.34 , 7.01
Trans_0020 , 1.68 , 3.92 , 3.01
Retail_0027 , 0.76 , 0.0 , 0.75
Trans_0021 , 0.89 , 4.35 , 5.23
Trans_0022 , 0.0 , 8.11 , 5.01
Trans_0023 , -0.0 , 5.49 , 4.01
Trans_0024 , 0.0 , 5.48 , 1.01
Retail_0028 , 0.76 , 0.0 , 0.75
Trans_0025 , -0.0 , 5.9 , 5.01
Trans_0026 , -0.0 , 7.78 , 2.01
Trans_0027 , -0.0 , 9.0 , 4.01
Trans_0028 , -0.0 , 3.15 , 2.01
Retail_0029 , 3.71 , 0.0 , 3.7
Trans_0029 , -0.0 , 3.4 , 3.01
Trans_0030 , -0.0 , 8.51 , 6.01
Trans_0031 , -0.0 , 8.54 , 5.01
Trans_0032 , 0.58 , 3.92 , 4.49
Retail_0030 , 0.76 , 0.0 , 0.75
Trans_0033 , -0.0 , 5.94 , 1.01
Trans_0034 , -0.0 , 8.2 , 2.01
Trans_0035 , -0.0 , 5.83 , 4.01
Trans_0036 , 0.27 , 4.5 , 4.76
Retail_0031 , 5.01 , 0.0 , 5.0
Retail_0032 , 1.01 , 0.0 , 1.0
Retail_0033 , 1.01 , 0.0 , 1.0
Retail_0034 , 5.55 , 0.0 , 5.54
Retail_0035 , 0.01 , 0.0 , 0.0
Retail_0036 , 0.01 , 0.0 , 0.0
Retail_0037 , 6.01 , 0.0 , 6.0
Retail_0038 , 3.01 , 0.0 , 3.0
Retail_0039 , 6.01 , 0.0 , 6.0
Retail_0040 , 1.01 , 0.0 , 1.0
Retail_0041 , 5.01 , 0.0 , 5.0
Retail_0042 , 3.01 , 0.0 , 3.0
