Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 11.308181047439575 ,seconds
------
The SC has, 253 , nodes and,  253 edges.
------
The value of the objective using Pyomo is, 493014.02 
stage, SI, time, S
Dist_0001 , 82.99 , 120 , -0.0
Dist_0002 , -0.0 , 12 , 11.99
Dist_0003 , -0.0 , 40 , -0.0
Retail_0001 , 7.29 , 19 , 26.28
Manuf_0003 , 11.99 , 18 , 29.98
Manuf_0004 , 11.99 , 62 , 0.0
Manuf_0005 , 11.99 , 52 , 0.0
Manuf_0006 , 11.99 , 67 , 0.0
Manuf_0007 , 11.99 , 37 , 0.0
Manuf_0008 , 11.99 , 61 , 0.0
Manuf_0009 , 11.99 , 50 , 0.0
Manuf_0010 , 11.99 , 72 , 0.0
Manuf_0011 , 11.99 , 51 , 0.0
Manuf_0012 , 11.99 , 41 , 0.0
Manuf_0013 , 11.99 , 60 , 0.0
Manuf_0014 , -0.0 , 17 , 0.0
Manuf_0015 , -0.0 , 16 , -0.0
Manuf_0016 , -0.0 , 16 , 0.0
Manuf_0001 , 0.0 , 239 , -0.0
Manuf_0002 , -0.0 , 83 , 82.99
Trans_0001 , 29.98 , 34 , -0.0
Retail_0002 , 0.0 , 18 , 0.0
Retail_0003 , 0.0 , 10 , 0.0
Retail_0004 , -0.0 , 10 , 0.0
Retail_0005 , -0.0 , 9 , 0.0
Retail_0006 , 0.0 , 13 , 0.0
Retail_0007 , 0.0 , 17 , 0.0
Retail_0008 , 0.0 , 10 , 0.0
Retail_0009 , 0.0 , 20 , 0.0
Retail_0010 , 0.0 , 15 , 0.0
Retail_0011 , 0.0 , 16 , 0.0
Manuf_0017 , 0.0 , 8 , 7.99
Manuf_0018 , 0.0 , 9 , 8.99
Manuf_0019 , 0.0 , 12 , 11.99
Manuf_0020 , 0.0 , 13 , 12.99
Manuf_0021 , -0.0 , 12 , 11.99
Manuf_0022 , -0.0 , 11 , 10.99
Manuf_0023 , 0.0 , 13 , 12.99
Manuf_0024 , 0.0 , 8 , 7.99
Manuf_0025 , 0.0 , 9 , 8.99
Manuf_0026 , 0.0 , 14 , 13.99
Manuf_0027 , 0.0 , 11 , 10.99
Manuf_0028 , 390.4 , 9 , 99.25
Manuf_0029 , 0.0 , 7 , 6.99
Manuf_0030 , 0.0 , 12 , 11.99
Manuf_0031 , 0.0 , 14 , 13.99
Manuf_0032 , 0.0 , 11 , 10.99
Manuf_0033 , -0.0 , 11 , 10.99
Manuf_0034 , -0.0 , 10 , 9.99
