Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 24.359943151474 ,seconds
------
The SC has, 409 , nodes and,  853 edges.
------
The value of the objective using Pyomo is, 702262.92 
stage, SI, time, S
Manuf_0001 , 0.02 , 11 , 11.01
Retail_0001 , 11.01 , 9 , 20.0
Manuf_0002 , 1.02 , 12 , 13.01
Retail_0002 , 13.01 , 7 , 20.0
Manuf_0003 , -0.0 , 14 , 12.01
Retail_0003 , 12.01 , 8 , 20.0
Manuf_0004 , 1.02 , 12 , 13.01
Retail_0004 , 13.01 , 7 , 20.0
Manuf_0005 , 0.0 , 14 , 12.01
Retail_0005 , 12.01 , 8 , 20.0
Manuf_0006 , 0.0 , 16 , 12.01
Retail_0006 , 12.01 , 8 , 20.0
Manuf_0007 , 0.02 , 11 , 11.01
Retail_0007 , 11.01 , 9 , 20.0
Manuf_0008 , 0.0 , 13 , 10.01
Retail_0008 , 10.01 , 10 , 20.0
Manuf_0009 , 0.01 , 11 , 11.0
Retail_0009 , 11.01 , 9 , 20.0
Manuf_0010 , 0.51 , 12 , 12.5
Retail_0010 , 12.76 , 7 , 19.75
Manuf_0011 , 0.0 , 16 , 10.01
Retail_0011 , 10.01 , 10 , 20.0
Manuf_0012 , 0.0 , 15 , 13.01
Retail_0012 , 13.01 , 7 , 20.0
Manuf_0013 , 0.0 , 14 , 12.01
Retail_0013 , 12.01 , 8 , 20.0
Manuf_0014 , 0.0 , 16 , 11.01
Retail_0014 , 11.01 , 9 , 20.0
Manuf_0015 , 0.01 , 12 , 12.0
Retail_0015 , 12.01 , 8 , 20.0
Manuf_0016 , 0.0 , 12 , 11.01
Retail_0016 , 11.01 , 9 , 20.0
Manuf_0017 , 0.0 , 14 , 13.01
Retail_0017 , 13.01 , 7 , 20.0
Manuf_0018 , 0.0 , 16 , 11.01
Retail_0018 , 11.01 , 9 , 20.0
Manuf_0019 , 0.0 , 14 , 12.01
Retail_0019 , 12.01 , 8 , 20.0
Manuf_0020 , 0.0 , 14 , 12.01
Retail_0020 , 12.01 , 8 , 20.0
Manuf_0021 , 0.0 , 14 , 12.01
Retail_0021 , 12.01 , 8 , 20.0
Manuf_0022 , 0.51 , 11 , 11.5
Retail_0022 , 11.76 , 8 , 19.75
Manuf_0023 , 0.0 , 15 , 12.01
Retail_0023 , 12.01 , 8 , 20.0
Manuf_0024 , 1.02 , 11 , 12.01
Retail_0024 , 12.52 , 7 , 19.51
Manuf_0025 , 0.01 , 11 , 11.0
Retail_0025 , 11.01 , 9 , 20.0
Manuf_0026 , 0.0 , 15 , 13.01
Retail_0026 , 13.01 , 7 , 20.0
Manuf_0027 , 0.51 , 11 , 11.5
Retail_0027 , 11.76 , 8 , 19.75
Manuf_0028 , 0.0 , 15 , 11.01
Retail_0028 , 11.01 , 9 , 20.0
Manuf_0029 , 0.0 , 13 , 10.01
Retail_0029 , 10.01 , 10 , 20.0
Manuf_0030 , 0.0 , 14 , 11.01
Retail_0030 , 11.01 , 9 , 20.0
Manuf_0031 , 0.0 , 14 , 12.01
Retail_0031 , 12.01 , 8 , 20.0
Manuf_0032 , 0.0 , 15 , 10.01
Retail_0032 , 10.01 , 10 , 20.0
Manuf_0033 , 0.0 , 15 , 10.01
Retail_0033 , 10.01 , 10 , 20.0
Manuf_0034 , 0.0 , 15 , 13.01
Retail_0034 , 13.01 , 7 , 20.0
Manuf_0035 , 0.0 , 16 , 11.01
Retail_0035 , 11.01 , 9 , 20.0
Manuf_0036 , 0.0 , 14 , 13.01
Retail_0036 , 13.01 , 7 , 20.0
Manuf_0037 , 0.0 , 15 , 11.01
Retail_0037 , 11.01 , 9 , 20.0
Manuf_0038 , 0.0 , 15 , 12.01
Retail_0038 , 12.01 , 8 , 20.0
