Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 5.4718499183654785 ,seconds
------
The SC has, 156 , nodes and,  263 edges.
------
The value of the objective using Pyomo is, 188355.19 
stage, SI, time, S
Manuf_0001 , 0.0 , 3 , 2.99
Trans_0001 , 2.99 , 3 , 0.0
Manuf_0002 , 0.0 , 3 , 2.99
Manuf_0006 , 2.99 , 5 , 1.0
Manuf_0022 , 3.28 , 4 , 7.27
Manuf_0003 , 0.0 , 4 , 0.0
Manuf_0014 , 0.0 , 4 , 3.99
Manuf_0004 , -0.0 , 3 , 0.0
Manuf_0015 , -0.0 , 3 , 2.99
Manuf_0005 , 0.0 , 4 , 1.0
Manuf_0016 , 1.0 , 4 , 4.99
Manuf_0020 , 1.0 , 4 , 4.99
Manuf_0021 , 1.0 , 5 , 4.99
Trans_0016 , 2.87 , 4 , 6.86
Manuf_0007 , -0.0 , 6 , 2.99
Trans_0006 , 2.99 , 3 , 5.98
Manuf_0008 , 0.0 , 5 , 4.99
Trans_0023 , 4.99 , 3 , 7.98
Manuf_0009 , 0.0 , 5 , 4.99
Trans_0024 , 4.99 , 3 , 7.98
Manuf_0010 , -0.0 , 4 , 3.99
Manuf_0025 , 3.99 , 4 , 7.98
Manuf_0011 , -0.0 , 4 , 3.99
Trans_0007 , 3.99 , 4 , 2.99
Manuf_0012 , 1.0 , 2 , 2.99
Trans_0008 , 2.99 , 3 , 5.98
Manuf_0013 , 1.99 , 4 , 0.0
Trans_0009 , 0.0 , 4 , 2.99
Trans_0010 , 3.99 , 4 , 4.99
Trans_0011 , 2.99 , 3 , 2.99
Trans_0012 , 4.99 , 3 , 7.98
Manuf_0017 , 0.0 , 4 , 2.0
Trans_0013 , 2.0 , 3 , 4.99
Manuf_0018 , -0.0 , 3 , 2.99
Trans_0014 , 2.99 , 3 , 2.99
Manuf_0019 , 0.95 , 3 , 3.94
Trans_0015 , 4.45 , 3 , 7.44
Trans_0017 , 4.99 , 3 , 7.98
Trans_0018 , 4.99 , 3 , 7.98
Trans_0019 , 7.59 , 3 , 10.58
Manuf_0023 , 1.09 , 3 , 4.08
Trans_0021 , 4.57 , 3 , 7.56
Manuf_0024 , -0.0 , 5 , 4.99
Trans_0022 , 4.99 , 3 , 7.98
Trans_0026 , 7.98 , 3 , 10.97
Manuf_0026 , -0.0 , 5 , 4.99
Trans_0027 , 4.99 , 3 , 7.98
Manuf_0027 , 0.33 , 5 , 5.32
Trans_0028 , 5.58 , 2 , 7.57
Manuf_0028 , -0.0 , 5 , 4.99
Trans_0030 , 4.99 , 3 , 7.98
Manuf_0029 , 0.0 , 5 , 4.99
Trans_0031 , 4.99 , 3 , 7.98
Manuf_0030 , 2.0 , 5 , 3.99
Trans_0033 , 3.99 , 4 , 7.98
Manuf_0031 , 2.0 , 4 , 5.99
Trans_0034 , 5.99 , 2 , 7.98
Manuf_0032 , 3.37 , 4 , 7.36
Trans_0035 , 8.23 , 2 , 10.22
Manuf_0033 , 4.0 , 2 , 5.99
Trans_0037 , 5.99 , 2 , 7.98
Manuf_0034 , 2.0 , 2 , 3.99
Trans_0039 , 3.99 , 4 , 7.98
Manuf_0035 , -0.0 , 3 , 2.99
Trans_0040 , 2.99 , 3 , 5.98
Manuf_0036 , 0.0 , 3 , 2.99
Trans_0041 , 2.99 , 4 , 2.99
Manuf_0037 , -0.0 , 4 , 3.99
Trans_0042 , 3.99 , 4 , 2.99
Manuf_0038 , 0.0 , 2 , 1.99
Manuf_0042 , 2.99 , 5 , 7.98
Manuf_0044 , 5.98 , 5 , 10.97
Manuf_0046 , 2.99 , 5 , 7.98
Manuf_0047 , 2.99 , 5 , 7.98
Manuf_0039 , 1.99 , 6 , 7.98
Manuf_0052 , 7.98 , 4 , -0.0
Manuf_0053 , 7.98 , 3 , -0.0
Manuf_0040 , 5.98 , 5 , 10.97
Manuf_0056 , 10.97 , 6 , -0.0
Manuf_0041 , 3.99 , 3 , 6.98
Manuf_0054 , 7.98 , 5 , -0.0
Manuf_0055 , 7.98 , 5 , -0.0
Manuf_0043 , 4.99 , 3 , 7.98
Manuf_0045 , 2.99 , 5 , 7.98
Manuf_0048 , 2.99 , 5 , 7.98
Manuf_0049 , 5.98 , 5 , 10.97
Manuf_0050 , 2.99 , 5 , 7.98
