Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 70.61672616004944 ,seconds
------
The SC has, 626 , nodes and,  632 edges.
------
The value of the objective using Pyomo is, 525590.74 
stage, SI, time, S
Dist_0001 , 0.0 , 7.0 , 0.0
Retail_0001 , 0.01 , 0.0 , 0.0
Trans_0001 , 0.0 , 7.32 , 7.31
Trans_0002 , 0.0 , 9.68 , 0.0
Trans_0003 , 0.0 , 8.91 , 8.9
Trans_0004 , 0.0 , 8.41 , 8.4
Dist_0002 , 0.0 , 5.0 , 0.0
Retail_0002 , 0.01 , 0.0 , 0.0
Trans_0005 , 0.0 , 7.01 , 7.0
Trans_0006 , 0.0 , 8.55 , 8.54
Trans_0007 , 0.0 , 8.34 , 0.0
Trans_0008 , 0.0 , 8.35 , 0.0
Trans_0009 , 0.0 , 11.05 , 0.0
Dist_0003 , 0.0 , 6.0 , 0.0
Retail_0003 , 0.01 , 0.0 , 0.0
Trans_0010 , 0.0 , 10.31 , 0.0
Trans_0011 , 0.0 , 10.25 , 10.24
Trans_0012 , 0.0 , 8.51 , 0.0
Trans_0013 , 0.0 , 8.84 , 0.0
Trans_0014 , 0.0 , 7.31 , 0.0
Trans_0015 , 0.0 , 8.0 , 7.99
Trans_0016 , 0.0 , 9.36 , 0.0
Dist_0004 , 0.0 , 6.0 , 0.0
Retail_0004 , 0.01 , 0.0 , 0.0
Trans_0017 , 0.0 , 8.66 , 0.0
Trans_0018 , 0.0 , 7.77 , 7.76
Trans_0019 , 0.0 , 7.88 , 7.87
Trans_0020 , 0.0 , 9.22 , 9.21
Trans_0021 , 0.0 , 7.47 , 0.0
Trans_0022 , 0.0 , 8.54 , 0.0
Trans_0023 , 0.0 , 13.4 , 0.0
Dist_0005 , 0.0 , 7.0 , 0.0
Retail_0005 , 0.01 , 0.0 , 0.0
Trans_0024 , 0.0 , 8.69 , 0.0
Trans_0025 , 0.0 , 7.35 , 7.34
Trans_0026 , 0.0 , 12.88 , 0.0
Trans_0027 , 0.0 , 5.69 , 5.68
Trans_0028 , 0.0 , 12.63 , 0.0
Trans_0029 , 0.0 , 7.98 , 0.0
Trans_0030 , 0.0 , 8.86 , 0.0
Dist_0006 , 0.0 , 7.0 , 0.0
Retail_0006 , 0.01 , 0.0 , 0.0
Trans_0031 , 0.0 , 9.96 , 0.0
