Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 1.691188097000122 ,seconds
------
The SC has, 133 , nodes and,  164 edges.
------
The value of the objective using Pyomo is, 583413.56 
stage, SI, time, S
Dist_0001 , -0.0 , 6 , 0.01
Retail_0029 , 0.01 , 0 , 0.0
Dist_0002 , 0.01 , 6 , 0.01
Retail_0030 , 0.01 , 0 , 0.0
Dist_0003 , 0.01 , 6 , 0.01
Retail_0031 , 0.01 , 0 , 0.0
Dist_0004 , 0.01 , 6 , 0.01
Retail_0032 , 0.01 , 0 , 0.0
Dist_0005 , 0.01 , 6 , 0.01
Retail_0033 , 0.01 , 0 , 0.0
Dist_0006 , 0.01 , 6 , 0.01
Retail_0034 , 0.01 , 0 , 0.0
Dist_0007 , -0.0 , 6 , 0.01
Retail_0035 , 0.01 , 0 , 0.0
Dist_0008 , 0.01 , 6 , 0.01
Retail_0036 , 0.01 , 0 , 0.0
Dist_0009 , 0.01 , 6 , 0.01
Retail_0037 , 0.01 , 0 , 0.0
Dist_0010 , 0.0 , 6 , 0.01
Retail_0038 , 0.01 , 0 , 0.0
Dist_0011 , 0.0 , 6 , 0.01
Retail_0039 , 0.01 , 0 , 0.0
Dist_0012 , 0.0 , 6 , 0.01
Retail_0040 , 0.01 , 0 , 0.0
Dist_0013 , 0.01 , 6 , 0.01
Retail_0041 , 0.01 , 0 , 0.0
Dist_0014 , 0.01 , 6 , 0.01
Retail_0042 , 0.01 , 0 , 0.0
Dist_0015 , -0.0 , 4 , 0.01
Retail_0043 , 0.01 , 0 , 0.0
Dist_0016 , 0.0 , 4 , 0.01
Retail_0044 , 0.01 , 0 , 0.0
Dist_0017 , -0.0 , 4 , 0.01
Retail_0045 , 0.01 , 0 , 0.0
Dist_0018 , 0.0 , 4 , 0.01
Retail_0046 , 0.01 , 0 , 0.0
Dist_0019 , -0.0 , 4 , 0.01
Retail_0047 , 0.01 , 0 , 0.0
Dist_0020 , -0.0 , 4 , 0.01
Retail_0048 , 0.01 , 0 , 0.0
Dist_0021 , 0.01 , 4 , 0.01
Retail_0049 , 0.01 , 0 , 0.0
Dist_0022 , 0.01 , 4 , 0.01
Retail_0050 , 0.01 , 0 , 0.0
Dist_0023 , -0.0 , 4 , 0.01
Retail_0051 , 0.01 , 0 , 0.0
Dist_0024 , 0.0 , 4 , 0.01
Retail_0052 , 0.01 , 0 , 0.0
Dist_0025 , -0.0 , 4 , 0.01
Retail_0053 , 0.01 , 0 , 0.0
Dist_0026 , 0.0 , 4 , 0.01
Retail_0054 , 0.01 , 0 , 0.0
Dist_0027 , 0.01 , 4 , 0.01
Retail_0055 , 0.01 , 0 , 0.0
Dist_0028 , -0.0 , 4 , 0.01
Retail_0056 , 0.01 , 0 , 0.0
Manuf_0001 , -0.0 , 8 , 0.0
Retail_0001 , 0.01 , 0 , -0.0
Manuf_0002 , -0.0 , 8 , 0.01
Retail_0002 , 0.01 , 0 , 0.0
Manuf_0003 , -0.0 , 8 , 0.01
Retail_0003 , 0.01 , 0 , 0.0
Manuf_0004 , -0.0 , 8 , 0.01
Retail_0004 , 0.01 , 0 , 0.0
Manuf_0005 , -0.0 , 8 , 0.01
Retail_0005 , 0.01 , 0 , 0.0
Manuf_0006 , -0.0 , 8 , 0.01
Retail_0006 , 0.01 , 0 , 0.0
Manuf_0007 , -0.0 , 8 , 0.0
Retail_0007 , 0.01 , 0 , -0.0
Manuf_0008 , -0.0 , 8 , 0.01
Retail_0008 , 0.01 , 0 , 0.0
Manuf_0009 , -0.0 , 8 , 0.01
Retail_0009 , 0.01 , 0 , -0.0
Manuf_0010 , -0.0 , 8 , 0.0
Retail_0010 , 0.01 , 0 , -0.0
Manuf_0011 , -0.0 , 8 , 0.0
Retail_0011 , 0.01 , 0 , -0.0
Manuf_0012 , -0.0 , 8 , 0.0
Retail_0012 , 0.01 , 0 , -0.0
Manuf_0013 , -0.0 , 8 , 0.01
Retail_0013 , 0.01 , 0 , 0.0
Manuf_0014 , -0.0 , 8 , 0.01
Retail_0014 , 0.01 , 0 , 0.0
Manuf_0015 , -0.0 , 8 , 0.0
Retail_0015 , 0.01 , 0 , -0.0
Manuf_0016 , -0.0 , 8 , 0.0
Retail_0016 , 0.01 , 0 , -0.0
Manuf_0017 , -0.0 , 8 , 0.0
Retail_0017 , 0.01 , 0 , -0.0
Manuf_0018 , -0.0 , 8 , 0.0
Retail_0018 , 0.01 , 0 , -0.0
Manuf_0019 , -0.0 , 8 , 0.0
Retail_0019 , 0.01 , 0 , -0.0
Manuf_0020 , -0.0 , 8 , 0.0
Retail_0020 , 0.01 , 0 , -0.0
Manuf_0021 , -0.0 , 8 , 0.01
Retail_0021 , 0.01 , 0 , 0.0
Manuf_0022 , -0.0 , 8 , 0.01
Retail_0022 , 0.01 , 0 , 0.0
Manuf_0023 , -0.0 , 8 , 0.0
Retail_0023 , 0.01 , 0 , -0.0
Manuf_0024 , -0.0 , 8 , 0.0
Retail_0024 , 0.01 , 0 , -0.0
Manuf_0025 , -0.0 , 8 , 0.0
Retail_0025 , 0.01 , 0 , -0.0
Manuf_0026 , -0.0 , 8 , 0.0
Retail_0026 , 0.01 , 0 , -0.0
Manuf_0027 , -0.0 , 8 , 0.01
Retail_0027 , 0.01 , 0 , 0.0
Manuf_0028 , -0.0 , 8 , 0.0
Retail_0028 , 0.01 , 0 , -0.0
Part_0001 , 0.0 , 12 , -0.0
Part_0002 , 0.0 , 10 , -0.0
Part_0003 , 0.0 , 12 , -0.0
Part_0004 , 0.0 , 10 , -0.0
Part_0005 , 0.0 , 12 , -0.0
Part_0006 , 0.0 , 10 , -0.0
Part_0007 , 0.0 , 10 , -0.0
Part_0008 , 0.0 , 12 , -0.0
Part_0009 , 0.0 , 10 , -0.0
Part_0010 , 0.0 , 10 , -0.0
Part_0011 , 0.0 , 12 , 0.0
Part_0012 , 0.0 , 12 , -0.0
Part_0013 , 0.0 , 10 , -0.0
Part_0014 , 0.0 , 10 , -0.0
Part_0015 , 0.0 , 12 , -0.0
Part_0016 , 0.0 , 10 , -0.0
Part_0017 , 0.0 , 10 , -0.0
Part_0018 , 0.0 , 10 , -0.0
Part_0019 , 0.0 , 12 , -0.0
Part_0020 , 0.0 , 12 , -0.0
Part_0021 , 0.0 , 7 , -0.0
