Stage , Degree , In_Edges , Out_Edges , Depth
Manuf_0001 , 1 , 0 , 1 , 3
Trans_0001 , 4 , 1 , 3 , 2
Manuf_0002 , 1 , 0 , 1 , 3
Trans_0002 , 3 , 1 , 2 , 2
Manuf_0003 , 1 , 0 , 1 , 3
Trans_0003 , 2 , 1 , 1 , 2
Manuf_0004 , 1 , 0 , 1 , 3
Trans_0004 , 2 , 1 , 1 , 2
Manuf_0005 , 1 , 0 , 1 , 3
Trans_0005 , 3 , 1 , 2 , 2
Manuf_0006 , 1 , 0 , 1 , 3
Trans_0006 , 2 , 1 , 1 , 2
Manuf_0007 , 5 , 2 , 3 , 1
Dist_0001 , 1 , 1 , 0 , 0
Dist_0002 , 1 , 1 , 0 , 0
Dist_0003 , 1 , 1 , 0 , 0
Manuf_0008 , 5 , 2 , 3 , 1
Dist_0004 , 1 , 1 , 0 , 0
Dist_0005 , 1 , 1 , 0 , 0
Dist_0006 , 1 , 1 , 0 , 0
Manuf_0009 , 6 , 3 , 3 , 1
Dist_0007 , 1 , 1 , 0 , 0
Dist_0008 , 1 , 1 , 0 , 0
Dist_0009 , 1 , 1 , 0 , 0
Manuf_0010 , 6 , 3 , 3 , 1
Dist_0010 , 1 , 1 , 0 , 0
Dist_0011 , 1 , 1 , 0 , 0
Dist_0012 , 1 , 1 , 0 , 0
