Stage , Degree , In_Edges , Out_Edges , Depth
Manuf_0001 , 23 , 14 , 9 , 2
Trans_0001 , 2 , 1 , 1 , 1
Trans_0003 , 2 , 1 , 1 , 1
Trans_0004 , 2 , 1 , 1 , 1
Trans_0005 , 2 , 1 , 1 , 1
Trans_0006 , 2 , 1 , 1 , 1
Trans_0007 , 2 , 1 , 1 , 1
Trans_0008 , 2 , 1 , 1 , 1
Trans_0350 , 2 , 1 , 1 , 1
Trans_0351 , 2 , 1 , 1 , 1
Manuf_0002 , 16 , 7 , 9 , 2
Trans_0002 , 2 , 1 , 1 , 1
Trans_0129 , 2 , 1 , 1 , 1
Trans_0130 , 2 , 1 , 1 , 1
Trans_0131 , 2 , 1 , 1 , 1
Trans_0132 , 2 , 1 , 1 , 1
Trans_0133 , 2 , 1 , 1 , 1
Trans_0134 , 2 , 1 , 1 , 1
Trans_0135 , 2 , 1 , 1 , 1
Trans_0456 , 2 , 1 , 1 , 1
Manuf_0003 , 23 , 14 , 9 , 2
Trans_0009 , 2 , 1 , 1 , 1
Trans_0010 , 2 , 1 , 1 , 1
Trans_0011 , 2 , 1 , 1 , 1
Trans_0012 , 2 , 1 , 1 , 1
Trans_0013 , 2 , 1 , 1 , 1
Trans_0014 , 2 , 1 , 1 , 1
Trans_0015 , 2 , 1 , 1 , 1
Trans_0016 , 2 , 1 , 1 , 1
Trans_0017 , 2 , 1 , 1 , 1
Manuf_0004 , 15 , 6 , 9 , 2
Trans_0018 , 2 , 1 , 1 , 1
Trans_0019 , 2 , 1 , 1 , 1
Trans_0020 , 2 , 1 , 1 , 1
Trans_0021 , 2 , 1 , 1 , 1
Trans_0022 , 2 , 1 , 1 , 1
Trans_0023 , 2 , 1 , 1 , 1
Trans_0024 , 2 , 1 , 1 , 1
Trans_0025 , 2 , 1 , 1 , 1
Trans_0026 , 2 , 1 , 1 , 1
Manuf_0005 , 17 , 7 , 10 , 2
Trans_0027 , 2 , 1 , 1 , 1
Trans_0028 , 2 , 1 , 1 , 1
Trans_0029 , 2 , 1 , 1 , 1
Trans_0030 , 2 , 1 , 1 , 1
Trans_0031 , 2 , 1 , 1 , 1
Trans_0032 , 2 , 1 , 1 , 1
Trans_0033 , 2 , 1 , 1 , 1
Trans_0034 , 2 , 1 , 1 , 1
Trans_0035 , 2 , 1 , 1 , 1
Trans_0036 , 2 , 1 , 1 , 1
Manuf_0006 , 15 , 6 , 9 , 2
Trans_0037 , 2 , 1 , 1 , 1
Trans_0038 , 2 , 1 , 1 , 1
Trans_0039 , 2 , 1 , 1 , 1
Trans_0040 , 2 , 1 , 1 , 1
Trans_0041 , 2 , 1 , 1 , 1
Trans_0042 , 2 , 1 , 1 , 1
Trans_0043 , 2 , 1 , 1 , 1
Trans_0044 , 2 , 1 , 1 , 1
Trans_0045 , 2 , 1 , 1 , 1
Manuf_0007 , 16 , 7 , 9 , 2
Trans_0046 , 2 , 1 , 1 , 1
Trans_0047 , 2 , 1 , 1 , 1
Trans_0048 , 2 , 1 , 1 , 1
Trans_0049 , 2 , 1 , 1 , 1
Trans_0050 , 2 , 1 , 1 , 1
Trans_0051 , 2 , 1 , 1 , 1
Trans_0052 , 2 , 1 , 1 , 1
Trans_0053 , 2 , 1 , 1 , 1
Trans_0054 , 2 , 1 , 1 , 1
Manuf_0008 , 17 , 8 , 9 , 2
Trans_0055 , 2 , 1 , 1 , 1
Trans_0056 , 2 , 1 , 1 , 1
Trans_0057 , 2 , 1 , 1 , 1
Trans_0058 , 2 , 1 , 1 , 1
Trans_0059 , 2 , 1 , 1 , 1
Trans_0060 , 2 , 1 , 1 , 1
Trans_0061 , 2 , 1 , 1 , 1
