Stage , Degree , In_Edges , Out_Edges , Depth
Manuf_0001 , 3 , 2 , 1 , 1
Retail_0001 , 1 , 1 , 0 , 0
Manuf_0002 , 3 , 2 , 1 , 1
Retail_0002 , 1 , 1 , 0 , 0
Manuf_0003 , 3 , 2 , 1 , 1
Retail_0003 , 1 , 1 , 0 , 0
Manuf_0004 , 3 , 2 , 1 , 1
Retail_0004 , 1 , 1 , 0 , 0
Manuf_0005 , 3 , 2 , 1 , 1
Retail_0005 , 1 , 1 , 0 , 0
Manuf_0006 , 4 , 3 , 1 , 1
Retail_0006 , 1 , 1 , 0 , 0
Manuf_0007 , 4 , 3 , 1 , 1
Retail_0007 , 1 , 1 , 0 , 0
Manuf_0008 , 2 , 1 , 1 , 1
Retail_0008 , 1 , 1 , 0 , 0
Manuf_0009 , 2 , 1 , 1 , 1
Retail_0009 , 1 , 1 , 0 , 0
Manuf_0010 , 2 , 1 , 1 , 1
Retail_0010 , 1 , 1 , 0 , 0
Manuf_0011 , 2 , 1 , 1 , 1
Retail_0011 , 1 , 1 , 0 , 0
Manuf_0012 , 2 , 1 , 1 , 1
Retail_0012 , 1 , 1 , 0 , 0
Manuf_0013 , 2 , 1 , 1 , 1
Retail_0013 , 1 , 1 , 0 , 0
Manuf_0014 , 2 , 1 , 1 , 1
Retail_0014 , 1 , 1 , 0 , 0
Manuf_0015 , 2 , 1 , 1 , 1
Retail_0015 , 1 , 1 , 0 , 0
Manuf_0016 , 2 , 1 , 1 , 1
Retail_0016 , 1 , 1 , 0 , 0
Manuf_0017 , 2 , 1 , 1 , 1
Retail_0017 , 1 , 1 , 0 , 0
Manuf_0018 , 2 , 1 , 1 , 1
Retail_0018 , 1 , 1 , 0 , 0
Manuf_0019 , 2 , 1 , 1 , 1
Retail_0019 , 1 , 1 , 0 , 0
Manuf_0020 , 2 , 1 , 1 , 1
Retail_0020 , 1 , 1 , 0 , 0
Manuf_0021 , 2 , 1 , 1 , 1
Retail_0021 , 1 , 1 , 0 , 0
Manuf_0022 , 2 , 1 , 1 , 1
Retail_0022 , 1 , 1 , 0 , 0
Manuf_0023 , 2 , 1 , 1 , 1
Retail_0023 , 1 , 1 , 0 , 0
Manuf_0024 , 2 , 1 , 1 , 1
Retail_0024 , 1 , 1 , 0 , 0
Manuf_0025 , 2 , 1 , 1 , 1
Retail_0025 , 1 , 1 , 0 , 0
Manuf_0026 , 2 , 1 , 1 , 1
Retail_0026 , 1 , 1 , 0 , 0
Manuf_0027 , 2 , 1 , 1 , 1
Retail_0027 , 1 , 1 , 0 , 0
Manuf_0028 , 2 , 1 , 1 , 1
Retail_0028 , 1 , 1 , 0 , 0
Manuf_0029 , 2 , 1 , 1 , 1
Retail_0029 , 1 , 1 , 0 , 0
Manuf_0030 , 2 , 1 , 1 , 1
Retail_0030 , 1 , 1 , 0 , 0
Manuf_0031 , 2 , 1 , 1 , 1
Retail_0031 , 1 , 1 , 0 , 0
Manuf_0032 , 2 , 1 , 1 , 1
Retail_0032 , 1 , 1 , 0 , 0
Manuf_0033 , 2 , 1 , 1 , 1
Retail_0033 , 1 , 1 , 0 , 0
Manuf_0034 , 2 , 1 , 1 , 1
Retail_0034 , 1 , 1 , 0 , 0
Manuf_0035 , 2 , 1 , 1 , 1
Retail_0035 , 1 , 1 , 0 , 0
Manuf_0036 , 2 , 1 , 1 , 1
Retail_0036 , 1 , 1 , 0 , 0
Manuf_0037 , 2 , 1 , 1 , 1
Retail_0037 , 1 , 1 , 0 , 0
Manuf_0038 , 2 , 1 , 1 , 1
Retail_0038 , 1 , 1 , 0 , 0
Manuf_0039 , 2 , 1 , 1 , 1
Retail_0039 , 1 , 1 , 0 , 0
Manuf_0040 , 2 , 1 , 1 , 1
Retail_0040 , 1 , 1 , 0 , 0
Manuf_0041 , 2 , 1 , 1 , 1
Retail_0041 , 1 , 1 , 0 , 0
Manuf_0042 , 2 , 1 , 1 , 1
Retail_0042 , 1 , 1 , 0 , 0
Manuf_0043 , 2 , 1 , 1 , 1
Retail_0043 , 1 , 1 , 0 , 0
Manuf_0044 , 2 , 1 , 1 , 1
Retail_0044 , 1 , 1 , 0 , 0
Manuf_0045 , 2 , 1 , 1 , 1
Retail_0045 , 1 , 1 , 0 , 0
Manuf_0046 , 2 , 1 , 1 , 1
Retail_0046 , 1 , 1 , 0 , 0
Manuf_0047 , 2 , 1 , 1 , 1
Retail_0047 , 1 , 1 , 0 , 0
Manuf_0048 , 2 , 1 , 1 , 1
Retail_0048 , 1 , 1 , 0 , 0
Manuf_0049 , 2 , 1 , 1 , 1
Retail_0049 , 1 , 1 , 0 , 0
Manuf_0050 , 2 , 1 , 1 , 1
Retail_0050 , 1 , 1 , 0 , 0
Manuf_0051 , 2 , 1 , 1 , 1
Retail_0051 , 1 , 1 , 0 , 0
Manuf_0052 , 2 , 1 , 1 , 1
Retail_0052 , 1 , 1 , 0 , 0
Manuf_0053 , 2 , 1 , 1 , 1
Retail_0053 , 1 , 1 , 0 , 0
Manuf_0054 , 2 , 1 , 1 , 1
Retail_0054 , 1 , 1 , 0 , 0
Manuf_0055 , 3 , 2 , 1 , 1
Retail_0055 , 1 , 1 , 0 , 0
Manuf_0056 , 4 , 2 , 2 , 1
Dist_0006 , 7 , 7 , 0 , 0
Retail_0056 , 1 , 1 , 0 , 0
Manuf_0057 , 3 , 2 , 1 , 1
Retail_0057 , 1 , 1 , 0 , 0
Manuf_0058 , 8 , 2 , 6 , 1
Dist_0001 , 5 , 5 , 0 , 0
Dist_0002 , 6 , 6 , 0 , 0
Dist_0003 , 7 , 7 , 0 , 0
Dist_0004 , 7 , 7 , 0 , 0
Dist_0005 , 6 , 6 , 0 , 0
Retail_0058 , 1 , 1 , 0 , 0
Manuf_0059 , 20 , 2 , 18 , 1
Dist_0007 , 6 , 6 , 0 , 0
Dist_0008 , 6 , 6 , 0 , 0
Dist_0009 , 6 , 6 , 0 , 0
Dist_0010 , 6 , 6 , 0 , 0
Dist_0013 , 6 , 6 , 0 , 0
Dist_0014 , 6 , 6 , 0 , 0
Dist_0015 , 6 , 6 , 0 , 0
Dist_0019 , 7 , 7 , 0 , 0
Dist_0020 , 6 , 6 , 0 , 0
Dist_0021 , 6 , 6 , 0 , 0
Dist_0022 , 6 , 6 , 0 , 0
Dist_0023 , 7 , 7 , 0 , 0
Dist_0024 , 6 , 6 , 0 , 0
Dist_0025 , 7 , 7 , 0 , 0
Dist_0027 , 6 , 6 , 0 , 0
Dist_0028 , 7 , 7 , 0 , 0
Dist_0031 , 6 , 6 , 0 , 0
Retail_0059 , 1 , 1 , 0 , 0
Manuf_0060 , 5 , 2 , 3 , 1
Dist_0011 , 7 , 7 , 0 , 0
Dist_0030 , 7 , 7 , 0 , 0
Retail_0060 , 1 , 1 , 0 , 0
Manuf_0061 , 14 , 11 , 3 , 1
Retail_0061 , 1 , 1 , 0 , 0
Manuf_0062 , 12 , 10 , 2 , 1
Retail_0062 , 1 , 1 , 0 , 0
Manuf_0063 , 13 , 10 , 3 , 1
Retail_0063 , 1 , 1 , 0 , 0
Manuf_0064 , 10 , 8 , 2 , 1
Retail_0064 , 1 , 1 , 0 , 0
Manuf_0065 , 4 , 2 , 2 , 1
Dist_0026 , 7 , 7 , 0 , 0
Retail_0065 , 1 , 1 , 0 , 0
Manuf_0066 , 3 , 2 , 1 , 1
Retail_0066 , 1 , 1 , 0 , 0
Manuf_0067 , 5 , 4 , 1 , 1
Retail_0067 , 1 , 1 , 0 , 0
Manuf_0068 , 12 , 6 , 6 , 1
Retail_0068 , 1 , 1 , 0 , 0
Manuf_0069 , 8 , 4 , 4 , 1
Retail_0069 , 1 , 1 , 0 , 0
Manuf_0070 , 11 , 6 , 5 , 1
Retail_0070 , 1 , 1 , 0 , 0
Manuf_0071 , 7 , 4 , 3 , 1
Dist_0018 , 7 , 7 , 0 , 0
Dist_0029 , 7 , 7 , 0 , 0
Retail_0071 , 1 , 1 , 0 , 0
Manuf_0072 , 9 , 6 , 3 , 1
Retail_0072 , 1 , 1 , 0 , 0
Manuf_0073 , 6 , 4 , 2 , 1
Dist_0016 , 7 , 7 , 0 , 0
Retail_0073 , 1 , 1 , 0 , 0
Manuf_0074 , 7 , 6 , 1 , 1
Retail_0074 , 1 , 1 , 0 , 0
Manuf_0075 , 6 , 2 , 4 , 1
Retail_0075 , 1 , 1 , 0 , 0
Manuf_0076 , 7 , 3 , 4 , 1
Retail_0076 , 1 , 1 , 0 , 0
Manuf_0077 , 7 , 3 , 4 , 1
Retail_0077 , 1 , 1 , 0 , 0
Manuf_0078 , 5 , 2 , 3 , 1
Dist_0012 , 5 , 5 , 0 , 0
Dist_0017 , 6 , 6 , 0 , 0
Retail_0078 , 1 , 1 , 0 , 0
Manuf_0079 , 11 , 2 , 9 , 1
Retail_0079 , 1 , 1 , 0 , 0
Manuf_0080 , 7 , 4 , 3 , 1
Retail_0080 , 1 , 1 , 0 , 0
Manuf_0081 , 18 , 6 , 12 , 1
Retail_0081 , 1 , 1 , 0 , 0
Manuf_0082 , 10 , 8 , 2 , 1
Retail_0082 , 1 , 1 , 0 , 0
Manuf_0083 , 10 , 8 , 2 , 1
Retail_0083 , 1 , 1 , 0 , 0
Manuf_0084 , 8 , 7 , 1 , 1
Retail_0084 , 1 , 1 , 0 , 0
Manuf_0085 , 9 , 8 , 1 , 1
Retail_0085 , 1 , 1 , 0 , 0
Manuf_0086 , 9 , 8 , 1 , 1
Retail_0086 , 1 , 1 , 0 , 0
Manuf_0087 , 8 , 7 , 1 , 1
Retail_0087 , 1 , 1 , 0 , 0
Manuf_0088 , 9 , 8 , 1 , 1
Retail_0088 , 1 , 1 , 0 , 0
Manuf_0089 , 9 , 8 , 1 , 1
Retail_0089 , 1 , 1 , 0 , 0
Manuf_0090 , 12 , 11 , 1 , 1
Retail_0090 , 1 , 1 , 0 , 0
Manuf_0091 , 9 , 8 , 1 , 1
Retail_0091 , 1 , 1 , 0 , 0
Manuf_0092 , 10 , 9 , 1 , 1
Retail_0092 , 1 , 1 , 0 , 0
Manuf_0093 , 11 , 10 , 1 , 1
Retail_0093 , 1 , 1 , 0 , 0
Manuf_0094 , 11 , 10 , 1 , 1
Retail_0094 , 1 , 1 , 0 , 0
Manuf_0095 , 11 , 10 , 1 , 1
Retail_0095 , 1 , 1 , 0 , 0
Manuf_0096 , 11 , 10 , 1 , 1
Retail_0096 , 1 , 1 , 0 , 0
Manuf_0097 , 11 , 10 , 1 , 1
Retail_0097 , 1 , 1 , 0 , 0
Manuf_0098 , 11 , 10 , 1 , 1
Retail_0098 , 1 , 1 , 0 , 0
