Stage , Degree , In_Edges , Out_Edges , Depth
Dist_0001 , 4 , 1 , 3 , 1
Dist_0008 , 1 , 1 , 0 , 0
Dist_0009 , 1 , 1 , 0 , 0
Dist_0010 , 1 , 1 , 0 , 0
Dist_0004 , 2 , 1 , 1 , 1
Dist_0011 , 1 , 1 , 0 , 0
Manuf_0001 , 5 , 4 , 1 , 2
Manuf_0002 , 5 , 4 , 1 , 2
Dist_0002 , 1 , 1 , 0 , 1
Manuf_0003 , 5 , 4 , 1 , 2
Dist_0003 , 1 , 1 , 0 , 1
Manuf_0004 , 5 , 4 , 1 , 2
Manuf_0005 , 5 , 4 , 1 , 2
Dist_0005 , 1 , 1 , 0 , 1
Manuf_0006 , 5 , 4 , 1 , 2
Dist_0006 , 1 , 1 , 0 , 1
Manuf_0007 , 5 , 4 , 1 , 2
Dist_0007 , 1 , 1 , 0 , 1
Part_0001 , 7 , 0 , 7 , 3
Part_0002 , 7 , 0 , 7 , 3
Part_0003 , 7 , 0 , 7 , 3
Part_0004 , 7 , 0 , 7 , 3
