Stage , Degree , In_Edges , Out_Edges , Depth
Dist_0001 , 2 , 1 , 1 , 3
Retail_0001 , 1 , 1 , 0 , 2
Dist_0002 , 2 , 1 , 1 , 3
Retail_0002 , 1 , 1 , 0 , 2
Dist_0003 , 2 , 1 , 1 , 3
Retail_0003 , 1 , 1 , 0 , 2
Dist_0004 , 2 , 1 , 1 , 3
Retail_0004 , 1 , 1 , 0 , 2
Dist_0005 , 2 , 1 , 1 , 3
Retail_0005 , 1 , 1 , 0 , 2
Dist_0006 , 2 , 1 , 1 , 3
Retail_0006 , 1 , 1 , 0 , 2
Dist_0007 , 2 , 1 , 1 , 3
Retail_0007 , 1 , 1 , 0 , 2
Dist_0008 , 2 , 1 , 1 , 3
Retail_0008 , 1 , 1 , 0 , 2
Dist_0009 , 2 , 1 , 1 , 3
Retail_0009 , 1 , 1 , 0 , 2
Dist_0010 , 2 , 1 , 1 , 3
Retail_0010 , 1 , 1 , 0 , 2
Dist_0011 , 2 , 1 , 1 , 3
Retail_0011 , 1 , 1 , 0 , 2
Dist_0012 , 2 , 1 , 1 , 3
Retail_0012 , 1 , 1 , 0 , 2
Dist_0013 , 2 , 1 , 1 , 3
Trans_0020 , 2 , 1 , 1 , 2
Dist_0014 , 2 , 1 , 1 , 3
Trans_0021 , 2 , 1 , 1 , 2
Dist_0015 , 2 , 1 , 1 , 3
Retail_0013 , 1 , 1 , 0 , 2
Dist_0016 , 2 , 1 , 1 , 3
Retail_0014 , 1 , 1 , 0 , 2
Dist_0017 , 2 , 1 , 1 , 3
Retail_0015 , 1 , 1 , 0 , 2
Dist_0018 , 2 , 1 , 1 , 3
Retail_0016 , 1 , 1 , 0 , 2
Dist_0019 , 2 , 1 , 1 , 3
Retail_0017 , 1 , 1 , 0 , 2
Dist_0020 , 2 , 1 , 1 , 3
Retail_0018 , 1 , 1 , 0 , 2
Dist_0021 , 2 , 1 , 1 , 3
Retail_0019 , 1 , 1 , 0 , 2
Dist_0022 , 2 , 1 , 1 , 3
Retail_0020 , 1 , 1 , 0 , 2
Dist_0023 , 2 , 1 , 1 , 3
Retail_0021 , 1 , 1 , 0 , 2
Dist_0024 , 2 , 1 , 1 , 3
Retail_0022 , 1 , 1 , 0 , 2
Dist_0025 , 2 , 1 , 1 , 3
Retail_0023 , 1 , 1 , 0 , 2
Dist_0026 , 2 , 1 , 1 , 3
Retail_0024 , 1 , 1 , 0 , 2
Dist_0027 , 2 , 1 , 1 , 3
Retail_0025 , 1 , 1 , 0 , 2
Dist_0028 , 2 , 1 , 1 , 3
Trans_0022 , 2 , 1 , 1 , 2
Dist_0029 , 2 , 1 , 1 , 1
Retail_0026 , 1 , 1 , 0 , 0
Dist_0030 , 2 , 1 , 1 , 1
Retail_0027 , 1 , 1 , 0 , 0
Dist_0031 , 2 , 1 , 1 , 1
Retail_0028 , 1 , 1 , 0 , 0
Manuf_0001 , 6 , 5 , 1 , 4
Manuf_0002 , 6 , 5 , 1 , 4
Manuf_0003 , 6 , 5 , 1 , 4
Manuf_0004 , 6 , 5 , 1 , 4
Manuf_0005 , 6 , 5 , 1 , 4
Manuf_0006 , 6 , 5 , 1 , 4
Manuf_0007 , 6 , 5 , 1 , 4
Manuf_0008 , 6 , 5 , 1 , 4
Manuf_0009 , 6 , 5 , 1 , 4
Manuf_0010 , 6 , 5 , 1 , 4
Manuf_0011 , 6 , 5 , 1 , 4
Manuf_0012 , 6 , 5 , 1 , 4
Manuf_0013 , 9 , 8 , 1 , 4
Manuf_0014 , 10 , 8 , 2 , 4
