Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (mac64[rosetta2])
Thread count: 10 physical cores, 10 logical processors, using up to 10 threads
Optimize a model with 590 rows, 580 columns and 1233 nonzeros
Model fingerprint: 0x705fb681
Model has 156 general constraints
Variable types: 312 continuous, 268 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 1e+04]
  Bounds range     [2e+00, 1e+02]
  RHS range        [2e+00, 1e+02]

User MIP start did not produce a new incumbent solution
User MIP start violates constraint a1Manuf_0003 by 2.000000000

Presolve added 181 rows and 16707 columns
Presolve time: 0.05s
Presolved: 771 rows, 17287 columns, 50993 nonzeros
Presolved model has 156 SOS constraint(s)
Variable types: 16960 continuous, 327 integer (0 binary)

Root relaxation: objective 1.315361e+05, 654 iterations, 0.01 seconds (0.01 work units)
Another try with MIP start

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 131536.083    0   39          - 131536.083      -     -    0s
H    0     0                    303054.99042 131536.083  56.6%     -    0s
H    0     0                    301675.45604 131536.083  56.4%     -    0s
H    0     0                    298782.06368 131536.083  56.0%     -    0s
H    0     0                    298170.07389 131536.083  55.9%     -    0s
H    0     0                    297706.79926 148034.033  50.3%     -    0s
H    0     0                    296784.48147 148034.033  50.1%     -    0s
     0     0 148045.920    0   39 296784.481 148045.920  50.1%     -    0s
     0     2 148045.920    0   39 296784.481 148045.920  50.1%     -    1s
H   32    35                    296433.57700 148045.920  50.1%  22.2    1s
H   33    35                    295249.17090 148045.920  49.9%  21.6    1s
H   39    35                    290646.89933 148045.920  49.1%  20.4    1s
H   45    45                    283927.97313 148045.920  47.9%  20.4    1s
H   50    45                    269194.74464 148045.920  45.0%  19.1    1s
* 1520   871             138    269180.67680 148045.920  45.0%   4.1    2s
H 1738   919                    268929.93294 148045.920  45.0%   5.7    4s
H 1739   874                    268383.48491 148045.920  44.8%   5.7    4s
H 1741   830                    268192.54597 148045.920  44.8%   5.7    4s
  2774  1468 188524.645   94  283 268192.546 148045.920  44.8%   5.2    5s
H 2775  1428                    267994.12039 148045.920  44.8%   5.2    5s
H 2984   866                    183682.88970 148045.920  19.4%   5.1    5s
*13777  6072             399    179255.02201 158981.953  11.3%   4.9    8s
 16569  8145 173485.280   84  296 179255.022 163182.301  8.97%   4.8   10s
H33835 19326                    179135.21121 165058.174  7.86%   4.6   19s
 33836 19323 176652.469   74    0 179135.211 165058.174  7.86%   4.6   20s
H33838 18357                    178844.24989 165058.174  7.71%   4.6   20s
 33861 18373 176126.914  128  649 178844.250 165058.174  7.71%   4.6   25s
H33896 17467                    178150.24376 165058.174  7.35%   4.9   29s
 34812 17917 176285.711  128  350 178150.244 165058.174  7.35%   5.2   30s
H36077 17531                    177844.68652 165058.174  7.19%   5.5   30s
H37238 17164                    177844.68645 165058.174  7.19%   5.7   31s
H37241 16375                    177844.68619 165058.174  7.19%   5.7   31s
H39807 16549                    177844.68567 165455.083  6.97%   6.0   33s
H39810 15786                    177653.92227 165455.083  6.87%   6.0   33s
H44161 16691                    177653.92224 166320.319  6.38%   6.5   34s
H44162 16049                    177653.92212 166320.319  6.38%   6.5   34s
 44451 16528 174502.072   85  391 177653.922 166423.236  6.32%   6.6   35s
 58636 21230 infeasible  132      177653.922 167586.584  5.67%   7.7   40s
H58644 20618                    177653.92130 167586.584  5.67%   7.6   40s
 70476 26233 177111.852   97  388 177653.921 168094.775  5.38%   8.3   45s
 86721 37028 infeasible   66      177653.921 168510.464  5.15%   8.7   50s
 100931 47882 174715.229  109  315 177653.921 168740.197  5.02%   9.0   55s
 116989 59618 174124.050   89  435 177653.921 168933.831  4.91%   9.2   60s
H130165 68410                    177653.92108 169064.711  4.83%   9.2   64s
 130529 69720 175475.701   94  420 177653.921 169076.093  4.83%   9.2   65s
 146506 80715 177086.373   70  493 177653.921 169198.055  4.76%   9.3   70s
 161637 92347 175739.766   91  416 177653.921 169316.924  4.69%   9.4   75s
 175781 103164 174139.139   65  519 177653.921 169394.470  4.65%   9.4   80s
 192353 114539     cutoff  136      177653.921 169503.065  4.59%   9.5   85s
 208564 126789 176724.999  131  262 177653.921 169592.090  4.54%   9.5   90s
 223301 137746 177617.381  127  252 177653.921 169664.838  4.50%   9.5   95s
 239068 148715 173392.106   72  412 177653.921 169740.699  4.45%   9.6  100s
 254557 160938 174795.069   71  336 177653.921 169798.561  4.42%   9.5  105s
 266522 168679     cutoff   95      177653.921 169858.160  4.39%   9.6  110s
 281676 180547 173819.866   73  479 177653.921 169924.815  4.35%   9.6  115s
 293789 188976 infeasible   84      177653.921 169970.512  4.32%   9.6  120s
 309208 200952     cutoff   74      177653.921 170020.410  4.30%   9.6  125s
 323316 211072 177402.635  122  282 177653.921 170058.758  4.28%   9.6  130s
 338612 222231 170877.767   73  465 177653.921 170100.322  4.25%   9.6  135s
 354489 234356 174236.082   74  438 177653.921 170153.839  4.22%   9.6  140s
 371676 246045 174595.973   81  426 177653.921 170206.880  4.19%   9.6  145s
 387232 256793 174851.997   88  413 177653.921 170248.283  4.17%   9.6  150s
 400314 266931 175235.792   91  457 177653.921 170279.499  4.15%   9.6  155s
 415289 277397     cutoff   62      177653.921 170318.490  4.13%   9.6  160s
 431925 289426 176896.005   52  466 177653.921 170351.677  4.11%   9.6  165s
 443349 298256 177533.505  158  275 177653.921 170374.437  4.10%   9.6  170s
 459330 310079 173583.827   70  465 177653.921 170406.098  4.08%   9.6  175s
 474919 320409 173762.089   77  457 177653.921 170432.203  4.07%   9.6  180s
*477925 321437             373    177615.75044 170438.701  4.04%   9.6  180s
 489243 330279 177303.686   83  401 177615.750 170460.755  4.03%   9.6  185s
H495082 333310                    177615.75039 170471.151  4.02%   9.6  188s
H495083 333310                    177615.75033 170471.151  4.02%   9.6  188s
H495084 308056                    177122.70325 170471.151  3.76%   9.6  188s
H496507 302742                    177033.75124 170474.379  3.71%   9.6  189s
H496597 302545                    177031.04573 170474.379  3.70%   9.6  189s
 497134 303571 173978.822   61  388 177031.046 170475.109  3.70%   9.6  190s
H498064 290219                    176851.08169 170476.171  3.60%   9.6  190s
H498297 290219                    176851.08150 170476.687  3.60%   9.6  192s
H498298 285792                    176790.82179 170476.687  3.57%   9.6  192s
H498305 284736                    176776.97519 170476.687  3.56%   9.6  192s
 501557 288162 171769.264   69  496 176776.975 170485.719  3.56%   9.6  195s
 515782 298041     cutoff   95      176776.975 170517.573  3.54%   9.6  200s
 531184 308224     cutoff   64      176776.975 170550.158  3.52%   9.7  205s
 545470 317791 175594.556   71  522 176776.975 170583.925  3.50%   9.7  210s
 559438 327315 172416.364   75  407 176776.975 170611.126  3.49%   9.7  215s
 573701 336490 175071.877   73  485 176776.975 170638.812  3.47%   9.7  220s
 587419 346332 172481.805   76  451 176776.975 170663.380  3.46%   9.7  225s
 602191 355368 176708.836  109  318 176776.975 170695.778  3.44%   9.8  230s
 618194 365732 174283.267   71  395 176776.975 170727.207  3.42%   9.8  235s
 632637 375400 176148.159  101  421 176776.975 170750.404  3.41%   9.8  240s
 646046 384759 173574.043   64  644 176776.975 170773.761  3.40%   9.8  245s
 660756 393939 175422.788  106  359 176776.975 170798.950  3.38%   9.8  250s
H667584 396534                    176758.85149 170808.345  3.37%   9.9  253s
H668759 397354                    176758.84918 170812.773  3.36%   9.9  254s
 669466 398260 176364.616   98  332 176758.849 170814.322  3.36%   9.9  255s
